state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,method,method_label,source_field,voters,method_share_pct,total_voters,value_status,source_url,source_title,source_status
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,physical_polling_place,Physical polling place,F1b,554,74.0642,748,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,0,0.0000,748,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,mail_votes,Mail votes,F1d,59,7.8877,748,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,provisional_ballot,Provisional ballot,F1e,0,0.0000,748,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,in_person_early,In-person early voting,F1f,135,18.0481,748,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,mail_votes_vote_by_mail_jurisdiction,Mail votes in vote-by-mail jurisdiction,F1g,,,748,unavailable,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00100,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,MULTIPLE COUNTIES,CITY OF ABBOTSFORD - MULTIPLE COUNTIES,jurisdiction,other_participation,Other participation,F1h,0,0.0000,748,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00175,TOWN OF ABRAMS - OCONTO COUNTY,OCONTO COUNTY,TOWN OF ABRAMS - OCONTO COUNTY,jurisdiction,physical_polling_place,Physical polling place,F1b,852,60.8571,1400,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00175,TOWN OF ABRAMS - OCONTO COUNTY,OCONTO COUNTY,TOWN OF ABRAMS - OCONTO COUNTY,jurisdiction,absentee_uocava,Absentee UOCAVA,F1c,8,0.5714,1400,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
WI,2024,00175,TOWN OF ABRAMS - OCONTO COUNTY,OCONTO COUNTY,TOWN OF ABRAMS - OCONTO COUNTY,jurisdiction,mail_votes,Mail votes,F1d,185,13.2143,1400,reported,https://www.eac.gov/research-and-data/studies-and-reports,U.S. EAC Election Administration and Voting Survey,loaded
