,,Nancy Mace,Michael B Moore,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Congressional District,1,227502,162582,693,390777,16425,407202
County,Beaufort,60676,40874,159,101709,3705,105414
Precinct,Beaufort 01,215,386,1,602,42,644
Precinct,Beaufort 02,399,380,9,788,26,814
Precinct,Beaufort 03,621,435,1,1057,38,1095
Precinct,Belfair 01,600,282,0,882,24,906
Precinct,Belfair 02,580,311,0,891,22,913
Precinct,Bluffton 01a,400,239,3,642,15,657
Precinct,Bluffton 01b,473,228,1,702,28,730
Precinct,Bluffton 01c,437,239,3,679,16,695
Precinct,Bluffton 01d,165,185,1,351,25,376
Precinct,Bluffton 02a,459,288,0,747,32,779
Precinct,Bluffton 02b,499,363,2,864,48,912
Precinct,Bluffton 02c,891,426,2,1319,39,1358
Precinct,Bluffton 02d,389,204,1,594,22,616
Precinct,Bluffton 02e,444,523,3,970,53,1023
Precinct,Bluffton 03,737,280,3,1020,28,1048
Precinct,Bluffton 04a,923,313,4,1240,37,1277
Precinct,Bluffton 04b,444,147,0,591,15,606
Precinct,Bluffton 04c,768,327,0,1095,27,1122
Precinct,Bluffton 04d,642,294,0,936,23,959
Precinct,Bluffton 04e,457,267,1,725,30,755
Precinct,Bluffton 05a,611,310,0,921,32,953
Precinct,Bluffton 05b,524,316,0,840,29,869
Precinct,Bluffton 05c,322,279,1,602,17,619
Precinct,Bluffton 05d,421,157,1,579,10,589
Precinct,Bluffton 05e,409,256,1,666,21,687
Precinct,Bluffton 06a,496,231,0,727,16,743
Precinct,Bluffton 06b,615,257,4,876,16,892
Precinct,Bluffton 07a,867,502,6,1375,52,1427
Precinct,Buckwalter 01,537,288,1,826,22,848
Precinct,Buckwalter 02,444,188,0,632,17,649
Precinct,Burton 01a,410,241,2,653,24,677
Precinct,Burton 01b,204,540,3,747,41,788
Precinct,Burton 01c,531,448,2,981,32,1013
Precinct,Burton 01d,229,176,0,405,21,426
Precinct,Burton 02a,492,284,4,780,32,812
Precinct,Burton 02b,508,234,2,744,18,762
Precinct,Burton 02c,647,335,4,986,30,1016
Precinct,Burton 02d,466,320,2,788,24,812
Precinct,Burton 03a,464,406,2,872,40,912
Precinct,Burton 03b,130,180,0,310,23,333
Precinct,Burton 04,167,294,1,462,33,495
Precinct,Burton 05a,426,231,3,660,23,683
Precinct,Burton 05b,319,332,0,651,36,687
Precinct,Chechessee 01,480,265,0,745,20,765
Precinct,Chechessee 02,601,281,1,883,18,901
Precinct,Chechessee 03,526,246,1,773,16,789
Precinct,Dale Lobeco,279,444,3,726,53,779
Precinct,Daufuskie,253,128,0,381,11,392
Precinct,Failsafe,118,95,0,213,10,223
Precinct,Failsafe Provisional,16,21,0,37,2,39
Precinct,Hilton Head 01a,503,418,1,922,45,967
Precinct,Hilton Head 01b,506,436,1,943,37,980
Precinct,Hilton Head 02a,543,483,0,1026,49,1075
Precinct,Hilton Head 02b,287,284,2,573,32,605
Precinct,Hilton Head 02c,402,228,0,630,20,650
Precinct,Hilton Head 02d,238,278,0,516,26,542
Precinct,Hilton Head 02e,550,279,0,829,31,860
Precinct,Hilton Head 03,585,251,0,836,24,860
Precinct,Hilton Head 04a,403,292,1,696,20,716
Precinct,Hilton Head 04b,617,458,0,1075,65,1140
Precinct,Hilton Head 04c,474,347,1,822,17,839
Precinct,Hilton Head 04d,502,372,0,874,30,904
Precinct,Hilton Head 05a,499,349,2,850,26,876
Precinct,Hilton Head 05b,462,320,0,782,24,806
Precinct,Hilton Head 05c,451,274,0,725,26,751
Precinct,Hilton Head 06,730,456,3,1189,25,1214
Precinct,Hilton Head 07a,583,366,3,952,41,993
Precinct,Hilton Head 07b,415,261,0,676,23,699
Precinct,Hilton Head 07c,401,226,0,627,18,645
Precinct,Hilton Head 08,368,251,1,620,32,652
Precinct,Hilton Head 09a,290,199,1,490,24,514
Precinct,Hilton Head 09b,464,201,1,666,17,683
Precinct,Hilton Head 09c,393,299,1,693,14,707
Precinct,Hilton Head 09d,421,148,1,570,14,584
Precinct,Hilton Head 10,400,262,0,662,21,683
Precinct,Hilton Head 11,566,358,2,926,37,963
Precinct,Hilton Head 12,276,228,1,505,26,531
Precinct,Hilton Head 13,416,261,0,677,30,707
Precinct,Hilton Head 14,496,306,2,804,15,819
Precinct,Hilton Head 15a,278,209,2,489,12,501
Precinct,Hilton Head 15b,479,269,0,748,22,770
Precinct,Ladys Island 01a,305,204,2,511,22,533
Precinct,Ladys Island 01b,249,319,1,569,29,598
Precinct,Ladys Island 02a,370,163,0,533,13,546
Precinct,Ladys Island 02b,820,399,2,1221,30,1251
Precinct,Ladys Island 02c,467,270,1,738,25,763
Precinct,Ladys Island 03a,523,328,1,852,27,879
Precinct,Ladys Island 03b,662,341,3,1006,30,1036
Precinct,Ladys Island 03c,503,250,1,754,17,771
Precinct,Ladys Island 04a,438,338,2,778,28,806
Precinct,Ladys Island 04b,474,222,0,696,15,711
Precinct,Ladys Island 04c,542,242,1,785,17,802
Precinct,Moss Creek,802,525,0,1327,36,1363
Precinct,Mossy Oaks 01a,395,255,1,651,28,679
Precinct,Mossy Oaks 01b,554,353,2,909,26,935
Precinct,Mossy Oaks 02,442,302,1,745,26,771
Precinct,New River 01,1258,611,3,1872,60,1932
Precinct,New River 02,689,323,2,1014,41,1055
Precinct,Palmetto Bluff,688,271,0,959,25,984
Precinct,Port Royal 01,466,353,0,819,30,849
Precinct,Port Royal 02,369,381,2,752,33,785
Precinct,Pritchardville 01,619,283,2,904,27,931
Precinct,Provisional,109,83,0,192,5,197
Precinct,Riverbend,799,374,1,1174,38,1212
Precinct,Rose Hill 01,380,138,0,518,19,537
Precinct,Rose Hill 02,646,327,0,973,37,1010
Precinct,Sandy Pointe,463,356,2,821,30,851
Precinct,Seabrook 01,321,306,2,629,37,666
Precinct,Seabrook 02,256,381,0,637,25,662
Precinct,Seabrook 03,409,452,0,861,44,905
Precinct,Sheldon 01,398,400,3,801,37,838
Precinct,Sheldon 02,83,405,2,490,27,517
Precinct,Spanish Wells,431,346,0,777,33,810
Precinct,St. Helena 01a,258,651,1,910,49,959
Precinct,St. Helena 01b,299,601,1,901,64,965
Precinct,St. Helena 01c,817,450,3,1270,45,1315
Precinct,St. Helena 02a,414,539,0,953,40,993
Precinct,St. Helena 02b,236,600,1,837,42,879
Precinct,St. Helena 02c,650,316,0,966,22,988
Precinct,Sun City 01,647,506,1,1154,45,1199
Precinct,Sun City 02,494,367,2,863,32,895
Precinct,Sun City 03,421,323,1,745,22,767
Precinct,Sun City 04,633,425,2,1060,48,1108
Precinct,Sun City 05,713,438,0,1151,60,1211
Precinct,Sun City 06,617,467,0,1084,34,1118
Precinct,Sun City 07,511,380,2,893,40,933
Precinct,Sun City 08,300,249,0,549,21,570
Precinct,Sun City 09,344,212,2,558,27,585
Precinct,Sun City 10,339,278,1,618,25,643
County,Berkeley,64833,44764,207,109804,3734,113538
Precinct,52,646,697,5,1348,41,1389
Precinct,78,594,482,4,1080,37,1117
Precinct,Alvin,303,286,0,589,35,624
Precinct,Bethera,185,9,0,194,1,195
Precinct,Beverly Hills,369,408,5,782,31,813
Precinct,Bonneau,666,265,1,932,46,978
Precinct,Bonneau Beach,905,219,1,1125,35,1160
Precinct,Boulder Bluff,640,783,3,1426,50,1476
Precinct,Bushy Park,38,5,0,43,1,44
Precinct,Cainhoy,400,606,1,1007,46,1053
Precinct,Cane Bay,1698,1184,2,2884,93,2977
Precinct,Cane Bay East,921,573,4,1498,42,1540
Precinct,Cane Bay North,1912,1113,2,3027,88,3115
Precinct,Cane Bay South,866,505,2,1373,32,1405
Precinct,Carnes Cross Roads 01,848,193,3,1044,28,1072
Precinct,Carnes Cross Roads 02,1252,693,4,1949,65,2014
Precinct,Central,831,740,1,1572,55,1627
Precinct,Cobblestone,562,608,4,1174,35,1209
Precinct,Cordesville,582,314,1,897,31,928
Precinct,Cross,545,297,3,845,29,874
Precinct,Cypress,693,613,0,1306,47,1353
Precinct,Daniel Island 01,1597,690,10,2297,49,2346
Precinct,Daniel Island 02,792,632,3,1427,39,1466
Precinct,Daniel Island 03,957,657,3,1617,48,1665
Precinct,Daniel Island 04,1538,894,6,2438,49,2487
Precinct,Devon Forest 01,691,571,2,1264,43,1307
Precinct,Devon Forest 02,540,430,5,975,27,1002
Precinct,Discovery,677,698,1,1376,52,1428
Precinct,Eadytown,165,283,0,448,25,473
Precinct,Failsafe,7,2,0,9,0,9
Precinct,Failsafe Provisional,23,23,0,46,1,47
Precinct,Foster Creek 01,455,284,2,741,27,768
Precinct,Foster Creek 02,1062,645,1,1708,52,1760
Precinct,Foster Creek 03,769,504,4,1277,46,1323
Precinct,Fox Bank,1440,963,5,2408,70,2478
Precinct,Hanahan 01,1085,493,1,1579,47,1626
Precinct,Hanahan 02,457,268,1,726,26,752
Precinct,Hanahan 03,564,266,5,835,24,859
Precinct,Hanahan 04,319,233,1,553,24,577
Precinct,Hanahan 05,681,279,3,963,47,1010
Precinct,Harbour Lake,262,471,1,734,34,768
Precinct,Hilton Cross Road,534,557,1,1092,53,1145
Precinct,Horseshoe,472,325,2,799,26,825
Precinct,Howe Hall 01,586,719,0,1305,56,1361
Precinct,Howe Hall 02,321,298,1,620,32,652
Precinct,Huger,801,606,3,1410,65,1475
Precinct,Jamestown,180,193,0,373,17,390
Precinct,Lebanon,587,138,1,726,23,749
Precinct,Liberty Hall,712,834,5,1551,56,1607
Precinct,Live Oak,849,157,1,1007,37,1044
Precinct,Macedonia,995,116,4,1115,30,1145
Precinct,Macedonia 02,128,8,0,136,4,140
Precinct,Mcbeth,460,223,1,684,16,700
Precinct,Medway,872,1071,1,1944,54,1998
Precinct,Moncks Corner 01,782,427,2,1211,51,1262
Precinct,Moncks Corner 02,560,495,1,1056,43,1099
Precinct,Moncks Corner 03,594,738,4,1336,51,1387
Precinct,Moncks Corner 04,918,308,1,1227,35,1262
Precinct,Moultrie,235,647,0,882,44,926
Precinct,Nexton,1530,955,5,2490,66,2556
Precinct,North Creek,1218,847,7,2072,66,2138
Precinct,Old 52,492,274,2,768,32,800
Precinct,Pimlico,982,367,1,1350,34,1384
Precinct,Pinopolis,1163,270,5,1438,28,1466
Precinct,Provisional,0,0,0,0,0,0
Precinct,Royle,443,301,1,745,23,768
Precinct,Russellville,198,653,1,852,47,899
Precinct,Sangaree 01,371,258,1,630,34,664
Precinct,Sangaree 02,549,370,0,919,40,959
Precinct,Sangaree 03,418,350,1,769,41,810
Precinct,Sedgefield 01,395,500,1,896,49,945
Precinct,Sedgefield 02,199,177,1,377,16,393
Precinct,Sedgefield 03,208,144,3,355,16,371
Precinct,Shulerville,183,110,0,293,12,305
Precinct,St. James,512,397,1,910,26,936
Precinct,St. Stephen 01,204,678,0,882,42,924
Precinct,St. Stephen 02,483,444,1,928,55,983
Precinct,Stone Lake,639,357,4,1000,30,1030
Precinct,Stratford 01,414,344,2,760,43,803
Precinct,Stratford 02,945,435,3,1383,37,1420
Precinct,Stratford 03,791,607,2,1400,48,1448
Precinct,Stratford 04,648,486,4,1138,43,1181
Precinct,Stratford 05,377,432,0,809,36,845
Precinct,The Village,1503,728,5,2236,54,2290
Precinct,Tramway,553,325,0,878,21,899
Precinct,Wassamassaw 01,407,397,1,805,24,829
Precinct,Wassamassaw 02,1246,791,2,2039,76,2115
Precinct,Weatherstone,688,527,4,1219,41,1260
Precinct,Westview 01,720,336,1,1057,27,1084
Precinct,Westview 02,738,419,3,1160,32,1192
Precinct,Westview 03,683,354,0,1037,34,1071
Precinct,Westview 04,674,360,3,1037,31,1068
Precinct,Whitesville 01,620,695,0,1315,58,1373
Precinct,Whitesville 02,303,348,2,653,24,677
Precinct,Wildcat Trail,1289,826,2,2117,79,2196
Precinct,Yeaman's Club,79,36,1,116,5,121
Precinct,Yellow House,1845,1127,9,2981,73,3054
County,Charleston,63356,50578,195,114129,3498,117627
Precinct,Awendaw,623,529,0,1152,38,1190
Precinct,Christ Church,452,345,1,798,33,831
Precinct,Edisto Island,725,589,2,1316,41,1357
Precinct,Failsafe,4,2,0,6,35,41
Precinct,Failsafe Provisional,48,35,1,84,39,123
Precinct,Folly Beach 01,328,353,0,681,18,699
Precinct,Folly Beach 02,430,443,0,873,16,889
Precinct,Isle Of Palms 01a,513,277,2,792,23,815
Precinct,Isle of Palms 01b,691,417,4,1112,29,1141
Precinct,Isle of Palms 01c,916,504,1,1421,27,1448
Precinct,James Island 01a,766,890,0,1656,46,1702
Precinct,James Island 01b,197,598,3,798,34,832
Precinct,James Island 03,116,508,0,624,21,645
Precinct,James Island 05a,655,499,2,1156,31,1187
Precinct,James Island 05b,408,252,2,662,22,684
Precinct,James Island 06,634,721,1,1356,34,1390
Precinct,James Island 07,774,810,0,1584,44,1628
Precinct,James Island 08a,463,702,0,1165,39,1204
Precinct,James Island 08b,615,730,1,1346,54,1400
Precinct,James Island 09,553,536,2,1091,47,1138
Precinct,James Island 10,608,617,1,1226,16,1242
Precinct,James Island 11,778,746,5,1529,42,1571
Precinct,James Island 12,594,487,1,1082,26,1108
Precinct,James Island 13,737,575,1,1313,38,1351
Precinct,James Island 14,385,297,1,683,16,699
Precinct,James Island 15,569,645,2,1216,37,1253
Precinct,James Island 17,651,634,7,1292,51,1343
Precinct,James Island 19,589,705,0,1294,40,1334
Precinct,James Island 20,488,648,1,1137,35,1172
Precinct,James Island 22,554,686,4,1244,32,1276
Precinct,Johns Island 01a,987,610,2,1599,45,1644
Precinct,Johns Island 01b,1102,1098,2,2202,75,2277
Precinct,Johns Island 02,2604,2054,3,4661,141,4802
Precinct,Johns Island 03a,2266,1773,6,4045,125,4170
Precinct,Johns Island 03b,868,740,2,1610,72,1682
Precinct,Johns Island 04,469,470,0,939,38,977
Precinct,Kiawah Island,966,786,5,1757,48,1805
Precinct,Mcclellanville,580,734,3,1317,53,1370
Precinct,Mt. Pleasant 01,638,524,2,1164,29,1193
Precinct,Mt. Pleasant 02,541,338,0,879,18,897
Precinct,Mt. Pleasant 03,635,668,7,1310,28,1338
Precinct,Mt. Pleasant 04,634,522,4,1160,29,1189
