,,Total Votes Cast,Total Ballots Cast,Registered Voters
Precinct,Edgewood Station B,0,1556,1774
Precinct,Failsafe,0,33,0
Precinct,Failsafe Provisional,0,150,0
Precinct,Flat Rock,0,988,1332
Precinct,Fork No. 01,0,1209,1488
Precinct,Fork No. 02,0,1352,1624
Precinct,Friendship,0,778,902
Precinct,Glenview,0,1553,1913
Precinct,Gluck Mill,0,770,1260
Precinct,Green Pond Station A,0,1917,2341
Precinct,Hall,0,1032,1337
Precinct,Hammond Annex,0,1533,1872
Precinct,Hammond School,0,2048,2421
Precinct,High Point,0,467,547
Precinct,Homeland Park,0,322,481
Precinct,Honea Path,0,1028,1278
Precinct,Hopewell,0,1406,1595
Precinct,Hunt Meadows,0,3626,4374
Precinct,Iva,0,1165,1517
Precinct,Jackson Mill,0,1017,1252
Precinct,La France,0,753,916
Precinct,Lakeside,0,1714,2297
Precinct,Melton,0,587,671
Precinct,Mount Tabor,0,2057,2481
Precinct,Mountain Creek,0,560,828
Precinct,Mt Airy,0,1918,2264
Precinct,Neals Creek,0,1450,1881
Precinct,North Pointe,0,1669,1946
Precinct,Pelzer,0,558,747
Precinct,Pendleton,0,2987,3820
Precinct,Piedmont,0,760,1036
Precinct,Piercetown,0,1948,2245
Precinct,Powdersville,0,2578,3211
Precinct,Provisional,0,80,0
Precinct,Rock Mill,0,1027,1198
Precinct,Rock Springs,0,622,759
Precinct,Shirley's Store,0,636,746
Precinct,Simpsonville,0,2171,2656
Precinct,South Fant,0,565,1027
Precinct,Starr,0,684,815
Precinct,Toney Creek,0,553,675
Precinct,Town Creek,0,1572,1821
Precinct,Townville,0,653,810
Precinct,Varennes,0,638,1024
Precinct,West Pelzer,0,1560,1984
Precinct,West Savannah,0,474,570
Precinct,White Plains,0,2704,3267
Precinct,Williamston,0,1733,2173
Precinct,Williamston Mill,0,1871,2546
Precinct,Wright's School,0,659,762
County,Bamberg,0,5771,9475
Precinct,Colston,0,126,175
Precinct,East Denmark,0,1052,2045
Precinct,Edisto,0,251,343
Precinct,Ehrhardt,0,468,682
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,1,0
Precinct,Govan,0,84,127
Precinct,Hightowers Mill,0,42,65
Precinct,Hunters Chapel,0,152,210
Precinct,Kearse,0,85,113
Precinct,Little Swamp,0,96,119
Precinct,North Bamberg,0,1287,1941
Precinct,Olar,0,219,329
Precinct,Provisional,0,3,0
Precinct,South Bamberg,0,1242,2191
Precinct,West Denmark,0,663,1135
County,Barnwell,0,9857,12899
Precinct,Barnwell 01,0,442,646
Precinct,Barnwell 02,0,1054,1381
Precinct,Barnwell 03,0,1164,1478
Precinct,Barnwell 04,0,887,1244
Precinct,Blackville 01,0,598,816
Precinct,Blackville 02,0,375,509
Precinct,Elko,0,414,508
Precinct,Failsafe,0,26,0
Precinct,Failsafe Provisional,0,8,0
Precinct,Friendship,0,530,620
Precinct,Healing Springs,0,531,707
Precinct,Hilda,0,674,821
Precinct,Kline,0,416,536
Precinct,Provisional,0,7,0
Precinct,Snelling,0,817,1071
Precinct,Williston 01,0,894,1197
Precinct,Williston 02,0,413,526
Precinct,Williston 03,0,607,839
County,Beaufort,0,105414,140221
Precinct,Beaufort 01,0,644,1032
Precinct,Beaufort 02,0,814,1118
Precinct,Beaufort 03,0,1095,1464
Precinct,Belfair 01,0,906,1120
Precinct,Belfair 02,0,913,1239
Precinct,Bluffton 01a,0,657,915
Precinct,Bluffton 01b,0,730,1004
Precinct,Bluffton 01c,0,695,1173
Precinct,Bluffton 01d,0,376,722
Precinct,Bluffton 02a,0,779,1247
Precinct,Bluffton 02b,0,912,1404
Precinct,Bluffton 02c,0,1358,1782
Precinct,Bluffton 02d,0,616,797
Precinct,Bluffton 02e,0,1023,1396
Precinct,Bluffton 03,0,1048,1335
Precinct,Bluffton 04a,0,1277,1589
Precinct,Bluffton 04b,0,606,756
Precinct,Bluffton 04c,0,1122,1262
Precinct,Bluffton 04d,0,959,1133
Precinct,Bluffton 04e,0,755,965
Precinct,Bluffton 05a,0,953,1230
Precinct,Bluffton 05b,0,869,1310
Precinct,Bluffton 05c,0,619,922
Precinct,Bluffton 05d,0,589,756
Precinct,Bluffton 05e,0,687,956
Precinct,Bluffton 06a,0,743,990
Precinct,Bluffton 06b,0,892,1056
Precinct,Bluffton 07a,0,1427,1796
Precinct,Buckwalter 01,0,848,1071
Precinct,Buckwalter 02,0,649,788
Precinct,Burton 01a,0,677,1018
Precinct,Burton 01b,0,788,1295
Precinct,Burton 01c,0,1013,1270
Precinct,Burton 01d,0,426,983
Precinct,Burton 02a,0,812,1290
Precinct,Burton 02b,0,762,1048
Precinct,Burton 02c,0,1016,1269
Precinct,Burton 02d,0,812,1118
Precinct,Burton 03a,0,912,1399
Precinct,Burton 03b,0,333,593
Precinct,Burton 04,0,495,842
Precinct,Burton 05a,0,683,1141
Precinct,Burton 05b,0,687,1241
Precinct,Chechessee 01,0,765,956
Precinct,Chechessee 02,0,901,1182
Precinct,Chechessee 03,0,789,952
Precinct,Dale Lobeco,0,779,1109
Precinct,Daufuskie,0,392,525
Precinct,Failsafe,0,223,0
Precinct,Failsafe Provisional,0,39,0
Precinct,Hilton Head 01a,0,967,1368
Precinct,Hilton Head 01b,0,980,1298
Precinct,Hilton Head 02a,0,1075,1435
Precinct,Hilton Head 02b,0,605,944
Precinct,Hilton Head 02c,0,650,732
Precinct,Hilton Head 02d,0,542,861
Precinct,Hilton Head 02e,0,860,989
Precinct,Hilton Head 03,0,860,1007
Precinct,Hilton Head 04a,0,716,873
Precinct,Hilton Head 04b,0,1140,1347
Precinct,Hilton Head 04c,0,839,1037
Precinct,Hilton Head 04d,0,904,1066
Precinct,Hilton Head 05a,0,876,1027
Precinct,Hilton Head 05b,0,806,938
Precinct,Hilton Head 05c,0,751,976
Precinct,Hilton Head 06,0,1214,1499
Precinct,Hilton Head 07a,0,993,1342
Precinct,Hilton Head 07b,0,699,934
Precinct,Hilton Head 07c,0,645,805
Precinct,Hilton Head 08,0,652,876
Precinct,Hilton Head 09a,0,514,711
Precinct,Hilton Head 09b,0,683,855
Precinct,Hilton Head 09c,0,707,913
Precinct,Hilton Head 09d,0,584,759
Precinct,Hilton Head 10,0,683,916
Precinct,Hilton Head 11,0,963,1189
Precinct,Hilton Head 12,0,531,783
Precinct,Hilton Head 13,0,707,1024
Precinct,Hilton Head 14,0,819,1021
Precinct,Hilton Head 15a,0,501,622
Precinct,Hilton Head 15b,0,770,963
Precinct,Ladys Island 01a,0,533,741
Precinct,Ladys Island 01b,0,598,843
Precinct,Ladys Island 02a,0,546,754
Precinct,Ladys Island 02b,0,1251,1585
Precinct,Ladys Island 02c,0,763,1009
Precinct,Ladys Island 03a,0,879,1086
Precinct,Ladys Island 03b,0,1036,1317
Precinct,Ladys Island 03c,0,771,1158
Precinct,Ladys Island 04a,0,806,1032
Precinct,Ladys Island 04b,0,711,869
Precinct,Ladys Island 04c,0,802,987
Precinct,Moss Creek,0,1363,1697
Precinct,Mossy Oaks 01a,0,679,939
Precinct,Mossy Oaks 01b,0,935,1260
Precinct,Mossy Oaks 02,0,771,1149
Precinct,New River 01,0,1932,2538
Precinct,New River 02,0,1055,1310
Precinct,Palmetto Bluff,0,984,1154
Precinct,Port Royal 01,0,849,1228
Precinct,Port Royal 02,0,785,1430
Precinct,Pritchardville 01,0,931,1143
Precinct,Provisional,0,197,0
Precinct,Riverbend,0,1212,1376
Precinct,Rose Hill 01,0,537,660
Precinct,Rose Hill 02,0,1010,1208
Precinct,Sandy Pointe,0,851,1321
Precinct,Seabrook 01,0,666,1090
Precinct,Seabrook 02,0,662,944
Precinct,Seabrook 03,0,905,1327
Precinct,Sheldon 01,0,838,1153
Precinct,Sheldon 02,0,517,779
Precinct,Spanish Wells,0,810,1031
Precinct,St. Helena 01a,0,959,1368
Precinct,St. Helena 01b,0,965,1325
Precinct,St. Helena 01c,0,1315,1588
Precinct,St. Helena 02a,0,993,1320
Precinct,St. Helena 02b,0,879,1269
Precinct,St. Helena 02c,0,988,1295
Precinct,Sun City 01,0,1199,1466
Precinct,Sun City 02,0,895,1131
Precinct,Sun City 03,0,767,942
Precinct,Sun City 04,0,1108,1363
Precinct,Sun City 05,0,1211,1464
Precinct,Sun City 06,0,1118,1342
Precinct,Sun City 07,0,933,1193
Precinct,Sun City 08,0,570,670
Precinct,Sun City 09,0,585,718
Precinct,Sun City 10,0,643,980
County,Berkeley,0,113538,146231
Precinct,52,0,1389,1772
Precinct,78,0,1117,1510
Precinct,Alvin,0,624,805
Precinct,Bethera,0,195,233
Precinct,Beverly Hills,0,813,1150
Precinct,Bonneau,0,978,1210
Precinct,Bonneau Beach,0,1160,1471
Precinct,Boulder Bluff,0,1476,2051
Precinct,Bushy Park,0,44,48
Precinct,Cainhoy,0,1053,1307
Precinct,Cane Bay,0,2977,3780
Precinct,Cane Bay East,0,1540,1686
Precinct,Cane Bay North,0,3115,3522
Precinct,Cane Bay South,0,1405,1790
Precinct,Carnes Cross Roads 01,0,1072,1450
Precinct,Carnes Cross Roads 02,0,2014,2398
Precinct,Central,0,1627,2146
Precinct,Cobblestone,0,1209,1949
Precinct,Cordesville,0,928,1143
Precinct,Cross,0,874,1115
Precinct,Cypress,0,1353,1818
Precinct,Daniel Island 01,0,2346,2813
Precinct,Daniel Island 02,0,1466,1748
Precinct,Daniel Island 03,0,1665,1973
Precinct,Daniel Island 04,0,2487,2883
Precinct,Devon Forest 01,0,1307,1866
Precinct,Devon Forest 02,0,1002,1381
Precinct,Discovery,0,1428,1960
Precinct,Eadytown,0,473,629
Precinct,Failsafe,0,9,0
Precinct,Failsafe Provisional,0,47,0
Precinct,Foster Creek 01,0,768,933
Precinct,Foster Creek 02,0,1760,2074
Precinct,Foster Creek 03,0,1323,1606
Precinct,Fox Bank,0,2478,2912
Precinct,Hanahan 01,0,1626,2005
Precinct,Hanahan 02,0,752,1186
Precinct,Hanahan 03,0,859,1216
Precinct,Hanahan 04,0,577,870
Precinct,Hanahan 05,0,1010,1328
Precinct,Harbour Lake,0,768,1368
Precinct,Hilton Cross Road,0,1145,1555
Precinct,Horseshoe,0,825,1147
Precinct,Howe Hall 01,0,1361,2030
Precinct,Howe Hall 02,0,652,983
Precinct,Huger,0,1475,1777
Precinct,Jamestown,0,390,459
Precinct,Lebanon,0,749,894
Precinct,Liberty Hall,0,1607,2037
Precinct,Live Oak,0,1044,1348
Precinct,Macedonia,0,1145,1355
Precinct,Macedonia 02,0,140,170
Precinct,Mcbeth,0,700,863
Precinct,Medway,0,1998,2554
Precinct,Moncks Corner 01,0,1262,1643
Precinct,Moncks Corner 02,0,1099,1494
Precinct,Moncks Corner 03,0,1387,1988
Precinct,Moncks Corner 04,0,1262,1602
Precinct,Moultrie,0,926,1256
Precinct,Nexton,0,2556,3049
Precinct,North Creek,0,2138,2404
Precinct,Old 52,0,800,1134
Precinct,Pimlico,0,1384,1628
Precinct,Pinopolis,0,1466,1759
Precinct,Provisional,0,0,0
Precinct,Royle,0,768,1103
Precinct,Russellville,0,899,1168
Precinct,Sangaree 01,0,664,963
Precinct,Sangaree 02,0,959,1361
Precinct,Sangaree 03,0,810,1141
Precinct,Sedgefield 01,0,945,1477
Precinct,Sedgefield 02,0,393,672
Precinct,Sedgefield 03,0,371,514
Precinct,Shulerville,0,305,365
Precinct,St. James,0,936,1237
Precinct,St. Stephen 01,0,924,1273
Precinct,St. Stephen 02,0,983,1339
Precinct,Stone Lake,0,1030,1249
Precinct,Stratford 01,0,803,1436
Precinct,Stratford 02,0,1420,1686
Precinct,Stratford 03,0,1448,2019
Precinct,Stratford 04,0,1181,1605
Precinct,Stratford 05,0,845,1262
Precinct,The Village,0,2290,2644
Precinct,Tramway,0,899,1214
Precinct,Wassamassaw 01,0,829,1106
Precinct,Wassamassaw 02,0,2115,2595
Precinct,Weatherstone,0,1260,1752
Precinct,Westview 01,0,1084,1276
Precinct,Westview 02,0,1192,1492
Precinct,Westview 03,0,1071,1390
Precinct,Westview 04,0,1068,1351
Precinct,Whitesville 01,0,1373,1859
Precinct,Whitesville 02,0,677,876
Precinct,Wildcat Trail,0,2196,2562
Precinct,Yeaman's Club,0,121,145
Precinct,Yellow House,0,3054,3865
County,Calhoun,0,7994,10096
Precinct,Bethel,0,693,847
Precinct,Cameron,0,538,647
Precinct,Center Hill,0,825,1084
Precinct,Creston,0,139,172
Precinct,Dixie,0,1383,1873
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,10,0
Precinct,Fall Branch,0,355,451
Precinct,Fort Motte,0,201,230
Precinct,Lone Star,0,797,989
Precinct,Midway,0,238,285
Precinct,Murph Hill,0,319,427
Precinct,Provisional,0,0,0
Precinct,Sandy Run,0,1368,1683
Precinct,St. Matthews,0,1128,1408
County,Charleston,0,216459,332681
Precinct,Awendaw,0,1190,1691
Precinct,Charleston 01,0,607,817
Precinct,Charleston 02,0,703,1054
Precinct,Charleston 03,0,736,1068
Precinct,Charleston 04,0,687,1188
Precinct,Charleston 05,0,585,999
Precinct,Charleston 06,0,726,1368
Precinct,Charleston 07,0,776,1487
Precinct,Charleston 08,0,664,1347
Precinct,Charleston 09,0,439,1005
Precinct,Charleston 10,0,245,746
Precinct,Charleston 11,0,738,1637
Precinct,Charleston 12,0,987,1930
Precinct,Charleston 13,0,711,1286
Precinct,Charleston 14,0,593,1254
Precinct,Charleston 15,0,1171,2449
Precinct,Charleston 16,0,726,1229
Precinct,Charleston 17,0,769,1150
Precinct,Charleston 18,0,936,1682
Precinct,Charleston 19,0,523,862
Precinct,Charleston 20,0,963,1377
Precinct,Charleston 21,0,431,789
Precinct,Christ Church,0,831,1141
Precinct,Deer Park 01a,0,779,1633
Precinct,Deer Park 01b,0,2020,4036
Precinct,Deer Park 02a,0,1628,3256
Precinct,Deer Park 02b,0,1066,2180
Precinct,Deer Park 02c,0,695,1125
Precinct,Deer Park 03,0,1381,2694
Precinct,Edisto Island,0,1357,1773
Precinct,Failsafe,0,41,0
Precinct,Failsafe Provisional,0,123,0
Precinct,Folly Beach 01,0,699,1031
Precinct,Folly Beach 02,0,889,1273
Precinct,Isle Of Palms 01a,0,815,1142
Precinct,Isle of Palms 01b,0,1141,1545
Precinct,Isle of Palms 01c,0,1448,1983
Precinct,James Island 01a,0,1702,2417
Precinct,James Island 01b,0,832,1200
Precinct,James Island 03,0,645,946
Precinct,James Island 05a,0,1187,1487
Precinct,James Island 05b,0,684,897
Precinct,James Island 06,0,1390,1928
Precinct,James Island 07,0,1628,2270
Precinct,James Island 08a,0,1204,1686
Precinct,James Island 08b,0,1400,2446
Precinct,James Island 09,0,1138,1610
Precinct,James Island 10,0,1242,1861
Precinct,James Island 11,0,1571,2101
Precinct,James Island 12,0,1108,1403
Precinct,James Island 13,0,1351,1807
Precinct,James Island 14,0,699,959
Precinct,James Island 15,0,1253,1998
Precinct,James Island 17,0,1343,2370
Precinct,James Island 19,0,1334,2133
Precinct,James Island 20,0,1172,1735
Precinct,James Island 22,0,1276,1711
Precinct,Johns Island 01a,0,1644,2265
Precinct,Johns Island 01b,0,2277,3148
Precinct,Johns Island 02,0,4802,7010
Precinct,Johns Island 03a,0,4170,5659
Precinct,Johns Island 03b,0,1682,2203
Precinct,Johns Island 04,0,977,1345
Precinct,Kiawah Island,0,1805,2438
Precinct,Ladson,0,1949,3592
Precinct,Lincolnville,0,1383,2390
Precinct,Mcclellanville,0,1370,1917
Precinct,Mt. Pleasant 01,0,1193,1585
Precinct,Mt. Pleasant 02,0,897,1484
Precinct,Mt. Pleasant 03,0,1338,1895
Precinct,Mt. Pleasant 04,0,1189,1847
Precinct,Mt. Pleasant 05,0,965,1317
Precinct,Mt. Pleasant 06,0,1560,2282
Precinct,Mt. Pleasant 07,0,841,1329
Precinct,Mt. Pleasant 08,0,731,954
Precinct,Mt. Pleasant 09,0,908,1228
Precinct,Mt. Pleasant 10,0,895,1118
Precinct,Mt. Pleasant 11,0,1194,1754
Precinct,Mt. Pleasant 12,0,2116,3176
Precinct,Mt. Pleasant 13,0,768,1380
Precinct,Mt. Pleasant 14,0,1030,1815
Precinct,Mt. Pleasant 15,0,2020,2694
Precinct,Mt. Pleasant 16,0,665,819
Precinct,Mt. Pleasant 17,0,2291,3530
Precinct,Mt. Pleasant 18,0,1018,1266
Precinct,Mt. Pleasant 19,0,1590,2633
Precinct,Mt. Pleasant 20,0,1205,1658
Precinct,Mt. Pleasant 21,0,1340,1981
Precinct,Mt. Pleasant 22,0,1690,2215
Precinct,Mt. Pleasant 23,0,1660,2419
Precinct,Mt. Pleasant 24,0,663,967
Precinct,Mt. Pleasant 25,0,925,1203
Precinct,Mt. Pleasant 26,0,437,647
Precinct,Mt. Pleasant 27,0,2474,3328
Precinct,Mt. Pleasant 28,0,952,1311
Precinct,Mt. Pleasant 29,0,268,338
Precinct,Mt. Pleasant 30,0,1702,2270
Precinct,Mt. Pleasant 31,0,1385,1982
Precinct,Mt. Pleasant 32,0,2249,3134
Precinct,Mt. Pleasant 33,0,3920,5400
Precinct,Mt. Pleasant 34,0,1470,2092
Precinct,Mt. Pleasant 35,0,4503,6405
Precinct,Mt. Pleasant 36,0,1489,2295
Precinct,Mt. Pleasant 37,0,3087,4365
Precinct,Mt. Pleasant 38,0,1560,2222
Precinct,Mt. Pleasant 39,0,4576,5811
Precinct,North Charleston 01,0,551,1060
Precinct,North Charleston 02,0,270,575
Precinct,North Charleston 03,0,893,1287
Precinct,North Charleston 04,0,627,1223
Precinct,North Charleston 05,0,797,1786
Precinct,North Charleston 06,0,647,1390
Precinct,North Charleston 07,0,526,1541
Precinct,North Charleston 08,0,690,1112
Precinct,North Charleston 09,0,1029,1773
Precinct,North Charleston 10,0,592,1361
Precinct,North Charleston 11,0,684,977
Precinct,North Charleston 12,0,800,1065
Precinct,North Charleston 13,0,418,899
Precinct,North Charleston 14,0,534,853
Precinct,North Charleston 15,0,671,1501
Precinct,North Charleston 16,0,841,1417
Precinct,North Charleston 17,0,524,1069
Precinct,North Charleston 18,0,859,1873
Precinct,North Charleston 19,0,670,1151
Precinct,North Charleston 20,0,500,784
Precinct,North Charleston 21,0,755,1415
Precinct,North Charleston 22,0,660,1463
Precinct,North Charleston 23,0,1364,2387
Precinct,North Charleston 24,0,1437,3041
Precinct,North Charleston 25,0,378,737
Precinct,North Charleston 26,0,180,394
Precinct,North Charleston 27,0,533,1224
Precinct,North Charleston 28,0,382,1009
Precinct,North Charleston 29,0,376,880
Precinct,North Charleston 30,0,1152,2090
Precinct,Provisional,0,216,0
Precinct,St. Andrews 01,0,506,783
Precinct,St. Andrews 02,0,840,1385
Precinct,St. Andrews 03,0,1040,1535
Precinct,St. Andrews 04,0,1192,1776
Precinct,St. Andrews 05,0,1186,1558
Precinct,St. Andrews 06,0,983,1292
Precinct,St. Andrews 07,0,1373,1966
Precinct,St. Andrews 08,0,584,950
Precinct,St. Andrews 09,0,695,1334
Precinct,St. Andrews 10,0,776,1228
Precinct,St. Andrews 11,0,764,982
Precinct,St. Andrews 12,0,863,1091
Precinct,St. Andrews 13,0,807,1302
Precinct,St. Andrews 14,0,1014,1483
Precinct,St. Andrews 15,0,797,1613
Precinct,St. Andrews 16,0,858,1182
Precinct,St. Andrews 17,0,1294,1867
Precinct,St. Andrews 18,0,1126,1957
Precinct,St. Andrews 19,0,230,325
Precinct,St. Andrews 20,0,1615,2972
Precinct,St. Andrews 21,0,564,937
Precinct,St. Andrews 22,0,923,1343
Precinct,St. Andrews 23,0,659,1204
Precinct,St. Andrews 24,0,810,1425
Precinct,St. Andrews 25,0,1008,1807
Precinct,St. Andrews 26,0,1004,1484
Precinct,St. Andrews 27,0,3341,5170
Precinct,St. Andrews 28,0,3069,4524
Precinct,St. Andrews 29,0,2599,4208
Precinct,St. Andrews 30,0,1405,2380
Precinct,St. Andrews 31,0,895,1330
Precinct,St. Andrews 32,0,877,1188
Precinct,St. Andrews 33,0,720,1017
Precinct,St. Andrews 34,0,1857,2677
Precinct,St. Andrews 35,0,1393,1905
Precinct,St. Andrews 36,0,1235,1742
Precinct,St. Andrews 37,0,3797,5627
Precinct,St. Pauls 01,0,616,884
Precinct,St. Pauls 02a,0,662,999
Precinct,St. Pauls 02b,0,1043,1514
Precinct,St. Pauls 03,0,1889,2385
Precinct,St. Pauls 04,0,1227,1815
Precinct,St. Pauls 05,0,793,1186
Precinct,St. Pauls 06,0,1946,2622
Precinct,Sullivans Island,0,1368,1876
Precinct,Town of Seabrook Island,0,1998,2699
Precinct,Wadmalaw Island 01,0,902,1229
Precinct,Wadmalaw Island 02,0,959,1278
County,Cherokee,0,24947,33634
Precinct,99 and Cherokee Falls,0,709,896
Precinct,Allens,0,765,991
Precinct,Alma Mill,0,938,1596
Precinct,Antioch and Kings Creek,0,1105,1418
Precinct,Ashworth,0,941,1192
Precinct,Blacksburg Ward No. 01,0,647,886
Precinct,Blacksburg Ward No. 02,0,891,1275
Precinct,Draytonville,0,1145,1569
Precinct,Ezells and Butler,0,1181,1541
Precinct,Failsafe,0,115,0
Precinct,Failsafe Provisional,0,1,0
Precinct,Gaffney Ward No. 01,0,360,616
Precinct,Gaffney Ward No. 02,0,623,1041
Precinct,Gaffney Ward No. 03,0,649,989
Precinct,Gaffney Ward No. 04,0,881,1279
Precinct,Gaffney Ward No. 05,0,699,1011
Precinct,Gaffney Ward No. 06,0,639,823
Precinct,Goucher and Thicketty,0,1047,1275
