,,Ralph W Norman,Evangeline Hundley,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,,,,
Congressional District,5,228260,130592,557,359409,17462,376871
County,Cherokee,18350,5485,25,23860,1087,24947
Precinct,99 and Cherokee Falls,629,55,2,686,23,709
Precinct,Allens,672,67,1,740,25,765
Precinct,Alma Mill,514,371,4,889,49,938
Precinct,Antioch and Kings Creek,973,96,1,1070,35,1105
Precinct,Ashworth,817,89,0,906,35,941
Precinct,Blacksburg Ward No. 01,467,145,1,613,34,647
Precinct,Blacksburg Ward No. 02,743,111,1,855,36,891
Precinct,Draytonville,906,181,0,1087,58,1145
Precinct,Ezells and Butler,967,154,0,1121,60,1181
Precinct,Failsafe,70,41,0,111,4,115
Precinct,Failsafe Provisional,1,0,0,1,0,1
Precinct,Gaffney Ward No. 01,120,207,0,327,33,360
Precinct,Gaffney Ward No. 02,150,418,1,569,54,623
Precinct,Gaffney Ward No. 03,145,470,2,617,32,649
Precinct,Gaffney Ward No. 04,455,374,2,831,50,881
Precinct,Gaffney Ward No. 05,446,215,2,663,36,699
Precinct,Gaffney Ward No. 06,466,151,0,617,22,639
Precinct,Goucher and Thicketty,905,116,0,1021,26,1047
Precinct,Grassy Pond,1523,302,1,1826,52,1878
Precinct,Holly Grove-Buffalo,764,109,1,874,45,919
Precinct,Limestone Mill,269,152,0,421,32,453
Precinct,Littlejohns and Sarratt,294,27,1,322,7,329
Precinct,Macedonia,1091,249,1,1341,56,1397
Precinct,Morgan,895,134,1,1030,31,1061
Precinct,Musgrove Mill,857,280,0,1137,45,1182
Precinct,Pleasant Grove,366,298,0,664,30,694
Precinct,Pleasant Meadows,158,345,0,503,31,534
Precinct,Provisional,8,1,0,9,1,10
Precinct,Timber Ridge,677,75,0,752,27,779
Precinct,White Plains,803,123,1,927,66,993
Precinct,Wilkinsville and Metcalf,416,18,1,435,18,453
Precinct,Woods,783,111,1,895,34,929
County,Chester,9038,5870,17,14925,767,15692
Precinct,Baldwin Mill,316,364,1,681,59,740
Precinct,Baton Rouge,380,106,1,487,25,512
Precinct,Beckhamville,386,222,2,610,34,644
Precinct,Blackstock,345,153,1,499,32,531
Precinct,Chester Ward 01,371,604,1,976,73,1049
Precinct,Chester Ward 02,120,381,1,502,41,543
Precinct,Chester Ward 03,493,475,1,969,53,1022
Precinct,Chester Ward 04,170,395,1,566,39,605
Precinct,Chester Ward 05,573,223,0,796,29,825
Precinct,Edgemoor,701,267,0,968,28,996
Precinct,Eureka Mill,448,565,0,1013,65,1078
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Fort Lawn,738,371,3,1112,37,1149
Precinct,Great Falls,317,215,0,532,48,580
Precinct,Halsellville,75,70,0,145,7,152
Precinct,Hazelwood,437,148,0,585,27,612
Precinct,Lando/Landsford,647,199,0,846,36,882
Precinct,Lowrys,572,188,1,761,33,794
Precinct,Provisional,2,1,0,3,0,3
Precinct,Richburg,723,375,0,1098,43,1141
Precinct,Rodman,747,298,2,1047,28,1075
Precinct,Rossville,271,67,1,339,12,351
Precinct,Wilksburg,206,183,1,390,18,408
County,Fairfield,4863,5762,13,10638,676,11314
Precinct,Blackstock,17,33,0,50,4,54
Precinct,Blairs,81,221,0,302,6,308
Precinct,Centerville,152,62,1,215,14,229
Precinct,Dutchmans Creek,885,297,0,1182,60,1242
Precinct,Failsafe,0,3,0,3,0,3
Precinct,Failsafe Provisional,2,1,0,3,0,3
Precinct,Feasterville,61,123,1,185,17,202
Precinct,Gladden Grove,30,14,0,44,3,47
Precinct,Greenbrier,553,754,3,1310,78,1388
Precinct,Hickory Ridge,225,337,1,563,43,606
Precinct,Horeb-glenn,43,180,0,223,8,231
Precinct,Jenkinsville,108,279,0,387,28,415
Precinct,Lebanon,275,232,0,507,26,533
Precinct,Mitford,279,204,3,486,33,519
Precinct,Monticello,154,210,0,364,45,409
Precinct,New Hope,32,16,0,48,1,49
Precinct,Provisional,12,6,0,18,0,18
Precinct,Ridgeway,579,901,0,1480,89,1569
Precinct,Simpson,360,305,0,665,29,694
Precinct,South Winnsboro,99,323,1,423,33,456
Precinct,White Oak,54,115,0,169,15,184
Precinct,Winnsboro Mills,196,224,0,420,33,453
Precinct,Winnsboro No. 01,280,531,2,813,60,873
Precinct,Winnsboro No. 02,359,332,1,692,43,735
Precinct,Woodard,27,59,0,86,8,94
County,Kershaw,21467,10845,52,32364,1398,33762
Precinct,Airport,532,252,0,784,34,818
Precinct,Antioch,422,173,4,599,26,625
Precinct,Bethune,512,254,4,770,56,826
Precinct,Buffalo,896,145,1,1042,37,1079
Precinct,Camden No. 01,563,596,1,1160,62,1222
Precinct,Camden No. 02 & 03,154,98,1,253,14,267
Precinct,Camden No. 05,455,226,1,682,19,701
Precinct,Camden No. 05-a,158,190,0,348,19,367
Precinct,Camden No. 06,374,225,3,602,29,631
Precinct,Cassatt,793,234,3,1030,52,1082
Precinct,Charlotte Thompson,692,447,1,1140,45,1185
Precinct,Dobys Mill,976,473,2,1451,63,1514
Precinct,Elgin No. 01,1156,723,3,1882,78,1960
Precinct,Elgin No. 02,811,439,2,1252,46,1298
Precinct,Elgin No. 03,619,399,0,1018,43,1061
Precinct,Elgin No. 04,899,480,2,1381,60,1441
Precinct,Elgin No. 05,702,427,0,1129,43,1172
Precinct,Elgin No. 06,491,443,1,935,37,972
Precinct,Failsafe,6,5,0,11,0,11
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Hobkirk's Hill,817,445,6,1268,68,1336
Precinct,Liberty Hill,375,82,0,457,16,473
Precinct,Lugoff No. 01,599,297,1,897,42,939
Precinct,Lugoff No. 02,927,402,2,1331,50,1381
Precinct,Lugoff No. 03,863,310,1,1174,38,1212
Precinct,Lugoff No. 04,846,312,2,1160,38,1198
Precinct,Malvern Hill,552,338,1,891,54,945
Precinct,Provisional,28,18,0,46,2,48
Precinct,Rabons Xroads,1253,330,3,1586,49,1635
Precinct,Riverdale,105,302,0,407,42,449
Precinct,Salt Pond,760,255,1,1016,37,1053
Precinct,Shaylors Hill,467,237,1,705,25,730
Precinct,Springdale,932,687,4,1623,64,1687
Precinct,Westville,920,253,1,1174,52,1226
Precinct,Whites Gardens,812,348,0,1160,58,1218
County,Lancaster,34196,18290,60,52546,2285,54831
Precinct,6 Mile Creek,870,576,3,1449,60,1509
Precinct,521 North,724,310,2,1036,40,1076
Precinct,Antioch,491,114,2,607,20,627
Precinct,Black Horse Run,2196,1365,11,3572,167,3739
Precinct,Buford,1298,213,0,1511,54,1565
Precinct,Camp Creek,554,94,0,648,25,673
Precinct,Carmel,286,119,0,405,19,424
Precinct,Chesterfield Ave,195,531,2,728,48,776
Precinct,College Park,812,390,0,1202,45,1247
Precinct,Douglas,1234,757,2,1993,83,2076
Precinct,Elgin,653,290,2,945,36,981
Precinct,Erwin Farm,592,511,0,1103,49,1152
Precinct,Failsafe,19,17,0,36,1,37
Precinct,Failsafe Provisional,42,25,1,68,5,73
Precinct,Flat Creek,564,64,0,628,27,655
Precinct,Gold Hill,1040,481,0,1521,65,1586
Precinct,Harrisburg,2074,1340,2,3416,133,3549
Precinct,Heath Springs,566,274,2,842,38,880
Precinct,Hyde Park,975,470,1,1446,56,1502
Precinct,Jim Wilson,1250,810,3,2063,90,2153
Precinct,Kershaw North,768,292,0,1060,62,1122
Precinct,Kershaw South,905,168,1,1074,41,1115
Precinct,Lake House,1373,828,2,2203,125,2328
Precinct,Lancaster East,583,694,2,1279,82,1361
Precinct,Mcilwain,1018,573,2,1593,70,1663
Precinct,Osceola,1613,1155,2,2770,89,2859
Precinct,Pleasant Hill,722,265,2,989,40,1029
Precinct,Pleasant Valley,1772,1356,3,3131,122,3253
Precinct,Possum Hollow,1450,823,1,2274,89,2363
Precinct,Provisional,94,51,1,146,7,153
Precinct,Rich Hill,799,108,2,909,41,950
Precinct,River Road,1371,754,2,2127,80,2207
Precinct,Riverside,302,223,0,525,28,553
Precinct,Springdale,541,497,1,1039,79,1118
Precinct,The Lodge,1477,891,2,2370,115,2485
Precinct,Tradesville,874,112,0,986,39,1025
Precinct,Unity,768,190,1,959,31,990
Precinct,University,598,258,2,858,41,899
Precinct,Van Wyck,733,301,1,1035,43,1078
County,Lee,3236,4490,5,7731,388,8119
Precinct,Ashland/stokes Bridge,241,71,0,312,14,326
Precinct,Ashwood,311,120,1,432,9,441
Precinct,Bishopville 01,81,341,0,422,23,445
Precinct,Bishopville 02,93,329,0,422,40,462
Precinct,Bishopville 03,300,302,1,603,28,631
Precinct,Bishopville 04,153,447,1,601,43,644
Precinct,Cedar Creek,151,89,0,240,7,247
Precinct,Cypress,158,231,0,389,15,404
Precinct,Elliott,76,249,1,326,11,337
Precinct,Failsafe,0,4,0,4,0,4
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Hickory Hill,146,105,0,251,19,270
Precinct,Ionia,303,178,0,481,29,510
Precinct,Lynchburg,77,314,0,391,24,415
Precinct,Manville,112,267,0,379,14,393
Precinct,Mt. Clio,38,125,0,163,8,171
Precinct,Provisional,0,0,0,0,0,0
Precinct,Rattlesnake Springs,147,92,0,239,11,250
Precinct,Schrocks Mill/lucknow,194,138,0,332,16,348
Precinct,South Lynchburg,85,150,1,236,11,247
Precinct,Spring Hill,161,311,0,472,19,491
Precinct,St. Charles,209,424,0,633,30,663
Precinct,St. Matthews,94,38,0,132,3,135
Precinct,Turkey Creek,60,58,0,118,4,122
Precinct,Woodrow,46,107,0,153,10,163
County,Spartanburg,22257,6120,29,28406,2444,30850
Precinct,Boiling Springs 9th Grade,1106,557,1,1664,93,1757
Precinct,Boiling Springs High,1117,407,3,1527,65,1592
Precinct,Boling Springs Jr. High,1257,409,0,1666,66,1732
Precinct,Cannons Elementary,716,403,0,1119,62,1181
Precinct,Carlisle Fosters Grove,1776,395,4,2175,82,2257
Precinct,Carlisle Wesleyan,1056,215,1,1272,71,1343
Precinct,Cherokee Springs Fire Station,1030,254,1,1285,59,1344
Precinct,Chesnee Elementary,1569,435,9,2013,111,2124
Precinct,Converse Fire Station,167,41,0,208,605,813
Precinct,Cooley Springs Baptist,1638,330,2,1970,103,2073
Precinct,Cowpens,947,214,0,1161,51,1212
Precinct,Failsafe,30,16,0,46,363,409
Precinct,Failsafe Provisional,5,4,0,9,51,60
Precinct,Lake Bowen Baptist,1466,320,0,1786,52,1838
Precinct,Mayo Elementary,1242,156,1,1399,71,1470
Precinct,New Prospect,1521,256,0,1777,70,1847
Precinct,Oakland Elementary,1227,310,1,1538,64,1602
Precinct,Palmetto,570,192,2,764,50,814
Precinct,Provisional,41,13,2,56,134,190
Precinct,Rainbow,1542,301,1,1844,71,1915
Precinct,Shoally,944,510,0,1454,77,1531
Precinct,Swofford Career Center,870,186,0,1056,44,1100
Precinct,Whitlock Junior High,420,196,1,617,29,646
County,Sumter,17031,15087,30,32148,1846,33994
Precinct,2nd Mill,994,255,0,1249,44,1293
Precinct,Birnie,33,208,0,241,293,534
Precinct,Burns-Downs,380,197,2,579,31,610
Precinct,Causeway Branch 01,672,415,0,1087,46,1133
Precinct,Causeway Branch 02,444,272,0,716,34,750
Precinct,Cherryvale,121,189,0,310,15,325
Precinct,Dalzell 01,578,462,1,1041,60,1101
Precinct,Dalzell 02,348,361,1,710,46,756
Precinct,Delaine,220,626,1,847,46,893
Precinct,Ebenezer No. 01,389,475,3,867,45,912
Precinct,Ebenezer No. 02,519,558,1,1078,44,1122
Precinct,Failsafe,5,1,0,6,3,9
Precinct,Failsafe Provisional,5,5,0,10,5,15
Precinct,Folsom Park,132,528,0,660,44,704
Precinct,Furman,775,237,0,1012,44,1056
Precinct,Green Swamp,833,854,2,1689,80,1769
Precinct,Green Swamp 02,593,156,0,749,26,775
Precinct,Hillcrest,291,358,0,649,31,680
Precinct,Horatio,81,257,0,338,12,350
Precinct,Manchester Forest,553,418,1,972,40,1012
Precinct,Mccrays Mill 01,598,524,0,1122,47,1169
Precinct,Mccrays Mill 02,795,573,2,1370,41,1411
Precinct,Millwood,212,217,0,429,24,453
Precinct,Mulberry,173,358,2,533,39,572
Precinct,Oakland Plantation 01,451,379,2,832,41,873
Precinct,Oakland Plantation 02,410,261,2,673,30,703
Precinct,Oswego,534,302,2,838,30,868
Precinct,Palmetto Park,386,417,1,804,45,849
Precinct,Pinewood,610,458,2,1070,59,1129
Precinct,Privateer,835,501,0,1336,73,1409
Precinct,Provisional,7,1,0,8,1,9
Precinct,Rembert,239,918,0,1157,64,1221
Precinct,Salterstown,359,226,0,585,34,619
Precinct,Shaw,66,49,1,116,6,122
Precinct,Spectrum,195,450,0,645,28,673
Precinct,St. Paul,470,650,0,1120,72,1192
Precinct,Sumter High 01,259,165,0,424,26,450
Precinct,Sumter High 02,488,449,1,938,47,985
Precinct,Sunset,540,486,1,1027,58,1085
Precinct,Thomas Sumter,215,514,0,729,49,778
Precinct,Wilson Hall,1223,357,2,1582,43,1625
County,Union,7992,3735,23,11750,600,12350
Precinct,Adamsburg,460,51,0,511,26,537
Precinct,Black Rock,135,127,1,263,9,272
Precinct,Bonham,457,184,1,642,32,674
Precinct,Buffalo Box 01,549,169,4,722,43,765
Precinct,Carlisle,54,243,0,297,17,314
Precinct,Cross Keys,466,150,1,617,30,647
Precinct,Excelsior,633,307,1,941,39,980
Precinct,Failsafe,0,0,0,0,0,0
Precinct,Failsafe Provisional,45,39,0,84,7,91
Precinct,Jonesville Box 01,550,147,2,699,45,744
Precinct,Jonesville Box 02,566,210,1,777,38,815
Precinct,Kelton,506,179,1,686,25,711
Precinct,Lockhart,360,70,2,432,18,450
Precinct,Monarch,770,185,0,955,58,1013
Precinct,Provisional,4,0,0,4,1,5
Precinct,Putnam,486,53,2,541,19,560
Precinct,Santuck,267,257,0,524,23,547
Precinct,Union Ward 01 Box 01,277,174,0,451,26,477
