,,Sheri Biggs,Bryon L Best,Mike Bedenbaugh,Write-In,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Alliance,,,,
Precinct,Trenton No. 02,793,815,27,0,1635,58,1693
Precinct,Westside,774,62,18,3,857,22,879
County,Greenville,22448,10639,712,58,33857,2787,36644
Precinct,Baker Creek,754,221,26,2,1003,42,1045
Precinct,Dunklin,1560,227,48,7,1842,71,1913
Precinct,Failsafe,21,10,1,0,32,272,304
Precinct,Failsafe Provisional,27,9,0,0,36,564,600
Precinct,Fork Shoals,1253,242,31,4,1530,57,1587
Precinct,Fountain Inn 01,1507,1066,68,3,2644,92,2736
Precinct,Fountain Inn 02,761,451,26,0,1238,47,1285
Precinct,Long Creek,1233,601,37,3,1874,57,1931
Precinct,Neely Farms,1682,972,65,4,2723,108,2831
Precinct,Piedmont,1302,722,40,3,2067,82,2149
Precinct,Pineview,902,215,29,1,1147,36,1183
Precinct,Provisional,25,14,1,0,40,298,338
Precinct,Raintree,1631,956,54,6,2647,100,2747
Precinct,Reedy Fork,1486,1068,40,4,2598,93,2691
Precinct,Sycamore,1739,636,45,2,2422,474,2896
Precinct,Verdmont,1201,530,34,3,1768,68,1836
Precinct,Walnut Springs,3050,1398,96,8,4552,164,4716
Precinct,Ware Place,1261,309,33,4,1607,57,1664
Precinct,Woodmont,1053,992,38,4,2087,105,2192
County,Greenwood,19452,9890,715,32,30089,1019,31108
Precinct,Airport,473,203,20,1,697,32,729
Precinct,Allies Crossing,479,140,13,0,632,26,658
Precinct,Angel Oak's Crossing,769,263,24,3,1059,30,1089
Precinct,Ashley River Run,75,197,4,0,276,11,287
Precinct,Bee's Ferry,33,401,13,0,447,29,476
Precinct,Biltmore Pines,552,207,27,3,789,20,809
Precinct,Bradley,109,47,4,0,160,4,164
Precinct,Callison,551,130,28,0,709,31,740
Precinct,Civic Center,426,444,22,2,894,28,922
Precinct,Cokesbury,341,321,11,1,674,35,709
Precinct,Coronaca,893,191,18,0,1102,34,1136
Precinct,Emerald,103,267,6,0,376,18,394
Precinct,Emerald High,280,90,7,1,378,11,389
Precinct,Epworth,413,78,7,0,498,19,517
Precinct,Failsafe,24,15,1,0,40,5,45
Precinct,Failsafe Provisional,25,20,1,0,46,0,46
Precinct,Fairhope Ferry,215,327,15,0,557,31,588
Precinct,Georgetown,415,244,15,1,675,12,687
Precinct,Gideons Way,200,299,10,1,510,19,529
Precinct,Glendale,438,95,13,0,546,14,560
Precinct,Graham's Glen,528,134,16,0,678,15,693
Precinct,Grandiflora Glen,364,350,12,1,727,24,751
Precinct,Greenwood High,444,224,12,0,680,12,692
Precinct,Greenwood Mill,389,107,22,0,518,13,531
Precinct,Harris,385,191,15,0,591,29,620
Precinct,Hodges,783,180,23,2,988,31,1019
Precinct,Hope's Ferry,212,223,7,0,442,27,469
Precinct,Laco,523,255,15,0,793,13,806
Precinct,Levi's Knoll,441,300,27,1,769,26,795
Precinct,Liberty,265,216,12,1,494,13,507
Precinct,Loblolly Pines,62,248,7,0,317,18,335
Precinct,Lower Lake,940,201,22,0,1163,35,1198
Precinct,Marshall Oaks,89,191,7,0,287,11,298
Precinct,Maxwellton Pike,496,95,18,0,609,24,633
Precinct,Mimosa Crest,377,224,12,1,614,22,636
Precinct,Mountain Laurel,195,241,10,0,446,14,460
Precinct,New Market,361,238,20,2,621,18,639
Precinct,Newcastle,577,213,18,1,809,18,827
Precinct,Ninety Six,367,198,10,0,575,11,586
Precinct,Ninety Six Mill,443,78,20,1,542,15,557
Precinct,Parsons Mill,353,233,14,1,601,15,616
Precinct,Pebble Stone Way,310,245,16,1,572,31,603
Precinct,Pinecrest,391,228,14,1,634,17,651
Precinct,Provisional,38,20,1,0,59,4,63
Precinct,Riley,109,37,4,0,150,6,156
Precinct,Rutherford Shoals,374,119,18,1,512,24,536
Precinct,Sandridge,431,58,7,1,497,15,512
Precinct,Shoals Junction,201,43,4,0,248,4,252
Precinct,Sparrows Grace,897,182,27,0,1106,41,1147
Precinct,Stonewood,604,172,18,0,794,25,819
Precinct,Troy,86,24,2,0,112,4,116
Precinct,Verdery,378,327,18,3,726,18,744
Precinct,Ware Shoals,225,116,8,1,350,17,367
County,Laurens,20336,7852,1027,125,29340,1027,30367
Precinct,Bailey,513,209,26,4,752,28,780
Precinct,Barksdale-Narnie,531,179,18,9,737,20,757
Precinct,Brewerton-princeton,507,47,15,0,569,17,586
Precinct,Clinton 01,527,298,31,1,857,33,890
Precinct,Clinton 02,524,329,30,3,886,28,914
Precinct,Clinton 03,824,251,48,7,1130,28,1158
Precinct,Clinton Mill,258,386,24,2,670,35,705
Precinct,Cooks,939,295,39,3,1276,45,1321
Precinct,Cross Hill,871,334,40,1,1246,51,1297
Precinct,Ekom,410,70,17,2,499,15,514
Precinct,Failsafe,17,9,0,0,26,2,28
Precinct,Failsafe Provisional,38,18,1,0,57,2,59
Precinct,Gray Court,613,267,43,1,924,30,954
Precinct,Greenpond,983,193,53,3,1232,36,1268
Precinct,Hickory Tavern,1533,237,60,7,1837,44,1881
Precinct,Joanna,900,207,47,2,1156,39,1195
Precinct,Jones,1564,828,44,3,2439,65,2504
Precinct,Laurens 01,153,200,14,6,373,19,392
Precinct,Laurens 02,59,142,8,0,209,22,231
Precinct,Laurens 03,234,223,9,0,466,24,490
Precinct,Laurens 04,126,286,7,0,419,35,454
Precinct,Laurens 05,651,365,50,8,1074,43,1117
Precinct,Laurens 06,615,210,29,8,862,39,901
Precinct,Long Branch,733,135,39,7,914,32,946
Precinct,Lydia Mill,357,375,27,0,759,35,794
Precinct,Maddens,628,190,35,11,864,38,902
Precinct,Martins-Poplar Springs,445,67,23,0,535,12,547
Precinct,Mountville,281,127,15,6,429,16,445
Precinct,Mt. Olive,690,85,29,3,807,28,835
Precinct,Ora-lanford,471,193,29,5,698,11,709
Precinct,Owings,398,124,23,0,545,18,563
Precinct,Provisional,22,10,2,1,35,0,35
Precinct,Trinity Ridge,695,298,43,10,1046,36,1082
Precinct,Waterloo,889,322,42,5,1258,43,1301
Precinct,Wattsville,577,204,36,4,821,30,851
Precinct,Youngs,760,139,31,3,933,28,961
County,McCormick,3597,2279,80,1,5957,264,6221
Precinct,Bethany,65,157,4,0,226,18,244
Precinct,Clarks Hill,217,153,2,0,372,17,389
Precinct,Failsafe,0,2,0,0,2,0,2
Precinct,Failsafe Provisional,0,0,0,0,0,0,0
Precinct,Mccormick No. 01,335,450,16,0,801,50,851
Precinct,Mccormick No. 02,188,329,5,0,522,35,557
Precinct,Modoc,204,24,0,0,228,7,235
Precinct,Monticello,507,164,7,1,679,16,695
Precinct,Mt. Carmel,29,94,2,0,125,7,132
Precinct,Parksville,132,23,2,0,157,8,165
Precinct,Plum Branch,279,292,9,0,580,32,612
Precinct,Provisional,2,1,1,0,4,0,4
Precinct,Savannah,1557,504,28,0,2089,65,2154
Precinct,Willington,82,86,4,0,172,9,181
County,Newberry,11075,4863,1646,10,17594,653,18247
Precinct,Beth-Eden,276,123,31,0,430,19,449
Precinct,Bush River,189,38,26,0,253,13,266
Precinct,Chappells,432,147,25,0,604,18,622
Precinct,Consolidated 05,573,173,88,1,835,49,884
Precinct,Failsafe,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,4,2,1,0,7,0,7
Precinct,Fairview,1264,268,126,1,1659,41,1700
Precinct,Hartford,424,218,68,0,710,41,751
Precinct,Helena,115,340,17,1,473,20,493
Precinct,Johnstone,256,77,43,0,376,11,387
Precinct,Kinards-Jalapa,254,78,26,0,358,12,370
Precinct,Little Mountain,841,225,105,1,1172,31,1203
Precinct,Maybinton,16,27,5,0,48,1,49
Precinct,Mt. Bethel-Garmany,398,363,57,0,818,43,861
Precinct,Newberry Ward 01,114,112,21,0,247,13,260
Precinct,Newberry Ward 02,411,198,68,0,677,24,701
Precinct,Newberry Ward 03,222,223,62,1,508,28,536
Precinct,Newberry Ward 04,47,204,12,0,263,12,275
Precinct,Newberry Ward 05,37,193,15,0,245,16,261
Precinct,Newberry Ward 06,371,291,86,0,748,32,780
Precinct,O'neal,1010,195,154,0,1359,40,1399
Precinct,Oakland,96,212,23,2,333,15,348
Precinct,Peak,69,15,16,0,100,2,102
Precinct,Pomaria,355,76,50,0,481,20,501
Precinct,Prosperity City,296,187,94,0,577,25,602
Precinct,Prosperity Outside,456,157,105,0,718,20,738
Precinct,Provisional,0,0,0,0,0,0,0
Precinct,Silverstreet,384,137,40,2,563,20,583
Precinct,St. Phillips-Jolly Street,554,224,71,0,849,28,877
Precinct,Stoney Hill,532,65,94,1,692,14,706
Precinct,Wheeland,326,44,42,0,412,8,420
Precinct,Whitmire City,357,125,38,0,520,16,536
Precinct,Whitmire Outside,396,126,37,0,559,21,580
County,Oconee,31883,8370,881,90,41224,1329,42553
Precinct,Bountyland,1025,278,23,2,1328,61,1389
Precinct,Earles Grove,613,80,11,0,704,24,728
Precinct,Failsafe,22,3,1,0,26,0,26
Precinct,Failsafe Provisional,32,7,0,0,39,1,40
Precinct,Fair Play,754,131,14,1,900,18,918
Precinct,Friendship,1154,275,37,5,1471,47,1518
Precinct,Holly Springs,275,13,5,0,293,6,299
Precinct,Keowee,1643,329,27,5,2004,50,2054
Precinct,Long Creek,221,126,7,1,355,16,371
Precinct,Madison,405,31,14,4,454,16,470
Precinct,Mountain Rest,671,162,22,4,859,35,894
Precinct,New Hope,2010,436,31,1,2478,57,2535
Precinct,Newry Corinth,172,50,9,0,231,9,240
Precinct,Oakway,933,132,21,2,1088,36,1124
Precinct,Provisional,15,9,0,0,24,0,24
Precinct,Ravenel,1219,565,59,7,1850,52,1902
Precinct,Return,534,78,13,1,626,23,649
Precinct,Richland,719,139,33,5,896,23,919
Precinct,Salem,1551,277,28,4,1860,60,1920
Precinct,Seneca 01,1127,710,45,4,1886,82,1968
Precinct,Seneca 02,1045,456,46,3,1550,57,1607
Precinct,Seneca 03,898,244,21,4,1167,29,1196
Precinct,Seneca 04,1113,640,51,4,1808,80,1888
Precinct,Shiloh,566,300,23,0,889,26,915
Precinct,South Union,1093,237,27,4,1361,46,1407
Precinct,Stamp Creek,1708,693,33,7,2441,71,2512
Precinct,Tamassee,878,90,26,3,997,27,1024
Precinct,Tokeena-Providence,799,138,26,2,965,36,1001
Precinct,Utica,327,152,16,1,496,8,504
Precinct,Walhalla 01,2320,472,49,6,2847,100,2947
Precinct,Walhalla 02,1556,324,41,4,1925,74,1999
Precinct,West Union,1368,283,32,1,1684,47,1731
Precinct,Westminster 01,1934,325,54,4,2317,75,2392
Precinct,Westminster 02,1183,185,36,1,1405,37,1442
County,Pickens,44937,12150,1624,127,58838,1984,60822
Precinct,6 Mile Mountain,1065,162,35,3,1265,35,1300
Precinct,9 Forks,994,129,25,5,1153,30,1183
Precinct,Abel,231,284,10,1,526,19,545
Precinct,Albert R. Lewis,950,121,36,1,1108,35,1143
Precinct,Arial Mill,625,118,22,2,767,27,794
Precinct,Brushy Creek,1039,348,38,3,1428,47,1475
Precinct,Calhoun,303,278,19,1,601,18,619
Precinct,Cedar Rock,841,124,31,1,997,33,1030
Precinct,Clemson,991,676,45,1,1713,90,1803
Precinct,Crescent Hill,854,98,46,1,999,36,1035
Precinct,Crestview,974,224,29,5,1232,33,1265
Precinct,Crossroads,908,131,32,2,1073,35,1108
Precinct,Crosswell,900,171,21,0,1092,41,1133
Precinct,Dacusville,725,101,36,7,869,32,901
Precinct,Easley,618,220,29,3,870,36,906
Precinct,East Liberty,648,150,14,0,812,24,836
Precinct,East Pickens,828,89,19,3,939,37,976
Precinct,Failsafe,73,16,1,0,90,5,95
Precinct,Failsafe Provisional,57,13,0,1,71,6,77
Precinct,Flat Rock,850,138,27,3,1018,28,1046
Precinct,Forest Acres,614,207,18,2,841,26,867
Precinct,Fruit Mountain,492,113,19,0,624,15,639
Precinct,Georges Creek,615,166,29,2,812,27,839
Precinct,Glassy Mountain,832,88,20,1,941,44,985
Precinct,Griffin,1058,115,39,2,1214,39,1253
Precinct,Holly Springs,1089,233,40,1,1363,32,1395
Precinct,Issaqueena,320,283,14,1,618,15,633
Precinct,Lawrence Chapel,767,207,26,1,1001,24,1025
Precinct,Lenhardt,1041,310,44,2,1397,36,1433
Precinct,McAllister,613,153,25,1,792,26,818
Precinct,Mckissick,620,196,26,4,846,30,876
Precinct,Morrison,474,335,24,0,833,32,865
Precinct,Mountain View,1405,306,28,6,1745,44,1789
Precinct,Norris,770,125,16,1,912,30,942
Precinct,North Central,626,255,37,1,919,43,962
Precinct,North Liberty,685,136,20,4,845,17,862
Precinct,North Pickens,907,147,27,2,1083,42,1125
Precinct,Pendleton,740,101,23,2,866,24,890
Precinct,Pickensville,629,236,29,7,901,16,917
Precinct,Pike,451,280,29,2,762,17,779
Precinct,Pope Field,722,296,31,0,1049,37,1086
Precinct,Praters Creek,704,56,24,1,785,27,812
Precinct,Provisional,91,17,3,0,111,8,119
Precinct,Pumpkintown,1095,205,29,2,1331,48,1379
Precinct,Rices Creek,826,130,18,4,978,28,1006
Precinct,Rock Springs,774,272,33,2,1081,26,1107
Precinct,Saluda,630,165,28,5,828,25,853
Precinct,Sheffield,878,202,28,0,1108,33,1141
Precinct,Simpson,393,276,19,0,688,40,728
Precinct,Sitton,815,243,31,4,1093,43,1136
Precinct,Six Mile,1072,137,32,2,1243,33,1276
Precinct,Skelton,774,85,28,1,888,28,916
Precinct,Smith Grove,527,123,17,0,667,17,684
Precinct,South Central,486,266,21,2,775,36,811
Precinct,South Pickens,623,218,21,3,865,49,914
Precinct,Stone Church,462,425,23,0,910,63,973
Precinct,Tri County,327,96,10,3,436,13,449
Precinct,University,224,155,9,1,389,17,406
Precinct,Vinland,667,117,27,1,812,33,845
Precinct,West Central,338,247,24,1,610,28,638
Precinct,West Liberty,896,139,26,1,1062,28,1090
Precinct,West Pickens,905,151,40,2,1098,40,1138
Precinct,Woodside,838,418,30,7,1293,36,1329
Precinct,Zion,648,128,24,0,800,22,822
County,Saluda,6147,2177,388,1,8713,346,9059
Precinct,Centennial,290,49,17,0,356,18,374
Precinct,Failsafe,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0
Precinct,Fruit Hill,450,324,22,0,796,29,825
Precinct,Higgins-Zoar,248,149,15,0,412,13,425
Precinct,Holly,1013,114,47,0,1174,34,1208
Precinct,Hollywood,862,89,67,0,1018,41,1059
Precinct,Holstons,443,194,28,0,665,23,688
Precinct,Pleasant Grove,592,97,59,0,748,30,778
Precinct,Provisional,1,0,0,0,1,0,1
Precinct,Richland,349,61,15,0,425,21,446
Precinct,Ridge Spring-Monetta,258,230,20,1,509,26,535
Precinct,Saluda No. 01,311,367,28,0,706,41,747
Precinct,Saluda No. 02,409,251,28,0,688,26,714
Precinct,Sardis,681,90,29,0,800,30,830
Precinct,Ward,240,162,13,0,415,14,429
