state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes,notes
WY,2012,Albany County,Albany County,Albany County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,14916,15732,1952,32600,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Big Horn County,Big Horn County,Big Horn County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,1736,8570,342,10648,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Campbell County,Campbell County,Campbell County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,4326,29906,910,35142,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Carbon County,Carbon County,Carbon County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,4220,8296,502,13018,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Converse County,Converse County,Converse County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2178,10086,422,12686,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Crook County,Crook County,Crook County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,852,6218,300,7370,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Fremont County,Fremont County,Fremont County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,10666,22150,1062,33878,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Goshen County,Goshen County,Goshen County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,2916,8356,340,11612,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Hot Springs County,Hot Springs County,Hot Springs County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,1046,3790,194,5030,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
WY,2012,Johnson County,Johnson County,Johnson County,wy-2012-general-results-zip,county,wyomingSosGeneralZip,https://sos.wyo.gov/Elections/Docs/2012/Results/General/2012_Wyoming_General_Results.zip,1498,6726,294,8518,Official Wyoming SOS historical baselines are county-level presidential rows. 2012 is aggregated from official county precinct-by-precinct workbooks because the ZIP lacks a statewide candidates summary workbook.
