state	election_year	jurisdiction	official_source_url	source_check_status	local_review_status	needed_result_artifacts	needed_turnout_artifacts	needed_geometry_artifacts	needed_admin_artifacts	request_path	notes	official_contact_path	custodian	expected_result_fields	expected_turnout_fields	expected_geometry_fields	expected_admin_fields
NV	2024	Carson City	https://www.carson.org/government/departments-a-f/clerk-recorder/elections	blocked_dns_or_site_resolution_wave13_confirmed	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Carson City Clerk-Recorder or through the Nevada SOS county-clerk contact path	Wave 13 recheck on July 2, 2026 failed direct scripted DNS resolution for www.carson.org. No parser-ready 2024 President plus U.S. Senate local export or CVR was collected.	Nevada SOS county-clerk contact path; Carson City Clerk-Recorder elections page if DNS resolves	Carson City Clerk-Recorder	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Churchill County	https://www.churchillcountynv.gov/134/Elections	reachable_no_parser_ready_export_found_wave13_confirmed	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Churchill County Clerk/Treasurer	Wave 13 recheck on July 2, 2026 reached the official county elections page with HTTP 200, but search and page-link checks did not surface a parser-ready 2024 General President plus U.S. Senate local export, SOV workbook, or CVR export.	Churchill County Clerk/Treasurer elections page; Nevada SOS county-clerk contact path	Churchill County Clerk/Treasurer	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Douglas County	https://cltr.douglascountynv.gov/elections/results-and-resources	official_results_page_reachable_wave23_no_local_export_found	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Douglas County Clerk-Treasurer Elections Office	Wave 23 recheck on July 3, 2026 reached the official Results and Resources page. The page says previous Douglas County results include certified outcomes from the Clerk-Treasurer and Nevada SOS, but no parser-ready 2024 President plus U.S. Senate local export, SOV workbook, CVR export, or downloadable result file was exposed in the visible page body.	https://cltr.douglascountynv.gov/elections/results-and-resources; Douglas County Election Office phone and email on page	Douglas County Clerk-Treasurer Elections Office	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Elko County	https://cms2.revize.com/revize/elkocounty/new_page/clerk/index.php	official_clerk_page_reachable_wave23_no_local_export_found	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Elko County Clerk; the official department directory lists the Clerk with phone/email and the Clerk page links Elections and Silver State Elections	Wave 23 recheck on July 3, 2026 reached the official Elko County department directory and linked Clerk page. The Clerk page states the office coordinates elections and provides an Elections link plus Silver State Elections, but no parser-ready 2024 President plus U.S. Senate local export, SOV workbook, or CVR export was exposed in the visible page body.	https://elkocountynv.net/your_government/departments/index.php; Clerk page phone/email; Nevada SOS county-clerk contact path	Elko County Clerk	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Esmeralda County	https://accessesmeralda.com/county-offices/clerk-treasurer/elections/	reachable_no_parser_ready_export_found	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Esmeralda County Clerk-Treasurer	Visible page links did not expose a parser-ready local export or CVR during the July 1, 2026 source pass.	Esmeralda County Clerk-Treasurer elections page; Nevada SOS county-clerk contact path	Esmeralda County Clerk-Treasurer	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Eureka County	https://www.eurekacountynv.gov/departments/clerk-recorder/elections/	official_elections_page_reachable_wave23_no_2024_local_export_found	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request 2024 General local result/CVR/administration records from the Eureka County Clerk Recorder; visible page points county election results to Silver State Election for result lookup	Wave 23 recheck on July 3, 2026 reached the current official Clerk Recorder Elections page. The page contains 2026 election documents, a precinct map, Clerk Recorder phone/fax/address, and a Silver State Elections result link, but no county-hosted parser-ready 2024 President plus U.S. Senate local export or CVR export was exposed.	https://www.eurekacountynv.gov/departments/clerk-recorder/elections/; Clerk Recorder phone/fax/address on page; Nevada SOS county-clerk contact path	Eureka County Clerk Recorder	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Lander County	https://landercountynv.org/government/clerk/index.php	official_clerk_page_reachable_wave23_no_local_export_found	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request 2024 General local SOV/CVR, turnout, geometry, and administration records from the Lander County Clerk using the clerk page email/phone	Wave 23 recheck on July 3, 2026 reached the current official Clerk page. The page states the Clerk is responsible for county elections and maintaining the voter registration database and lists the Clerk phone/email, but no parser-ready 2024 President plus U.S. Senate local export, SOV workbook, or CVR export was exposed in the visible page body.	https://landercountynv.org/government/clerk/index.php; landercountyclerk@landercountynvelections.gov; Nevada SOS county-clerk contact path	Lander County Clerk	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Lincoln County	https://lincolncountynv.gov/government/clerk/election/	blocked_ssl_from_scripted_check	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Lincoln County Clerk or through the Nevada SOS county-clerk contact path	Likely official clerk election path failed scripted TLS validation in the July 1, 2026 source pass.	Lincoln County Clerk election path if TLS allows; Nevada SOS county-clerk contact path	Lincoln County Clerk	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Lyon County	https://www.lyon-county.org/55/Elections	reachable_no_parser_ready_export_found_wave13_confirmed	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request from the Lyon County Clerk/Treasurer	Wave 13 recheck on July 2, 2026 reached the official county elections page with HTTP 200, but search and page-link checks did not surface a parser-ready 2024 General President plus U.S. Senate local export, SOV workbook, or CVR export.	Lyon County Clerk/Treasurer elections page; Nevada SOS county-clerk contact path	Lyon County Clerk/Treasurer	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
NV	2024	Mineral County	https://mineralcountynv.us/government/clerk_treasurer/election.php	official_election_page_reachable_wave23_no_2024_local_export_found	needs_official_local_president_senate_rows	2024 General precinct/local President rows; 2024 General precinct/local U.S. Senate rows at the same grain	ballots-cast and registered-voter denominator rows with timing and inactive-voter treatment	precinct boundary GIS, precinct portion crosswalks, or reporting-unit geometry matching result identifiers	CVR availability/export; audit; logic and accuracy; tabulator/EMS logs; custody; incident; correction; recount; litigation records	Request 2024 General local SOV/CVR, turnout, geometry, and administration records from the Mineral County Clerk-Treasurer using the election/contact pages	Wave 23 recheck on July 3, 2026 reached the current official Clerk-Treasurer Election page. The page contains 2026 election information and Clerk-Treasurer contact email/phone, but no parser-ready 2024 President plus U.S. Senate local export, SOV workbook, or CVR export was exposed in the visible page body.	https://mineralcountynv.us/government/clerk_treasurer/election.php; clerk-treasurer@mineralcountynv.org; Nevada SOS county-clerk contact path	Mineral County Clerk-Treasurer	precinct_or_local_unit; contest_name; candidate_name; party; votes; total_votes; source_timestamp; certification_or_canvass_status	ballots_cast; registered_voters; denominator_timing; active_inactive_voter_treatment; turnout_source_date	precinct_id; precinct_name; precinct_portion; geometry_file_or_crosswalk; GIS_contact	audit_scope; audit_units; CVR_availability; L&A_test_records; tabulator_or_EMS_logs; custody_records; incident_or_correction_or_recount_or_litigation_records
