,,Donald J. Trump and Michael R. Pence,Joseph R Biden and Kamala D. Harris,Jo Jorgensen and Jeremy Spike Cohen,Howie Hawkins and Angela Walker,Roque Rocky De La Fuente and Darcy G. Richardson,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Alliance,,,
Precinct,Harvest,537,382,17,5,1,942,6,948
Precinct,Hickory Grove,663,191,5,3,0,862,4,866
Precinct,Highland Park,358,512,4,4,1,879,11,890
Precinct,Hollis Lakes,736,751,31,9,0,1527,6,1533
Precinct,Hopewell,572,357,10,3,0,942,5,947
Precinct,Independence,580,191,9,0,0,780,6,786
Precinct,India Hook,738,520,25,3,0,1286,7,1293
Precinct,Kanawha,1175,883,32,2,5,2097,12,2109
Precinct,Lakeshore,1106,735,28,2,2,1873,7,1880
Precinct,Lakewood,831,386,21,3,1,1242,10,1252
Precinct,Larne,696,379,16,4,0,1095,10,1105
Precinct,Laurel Creek,891,381,10,3,0,1285,15,1300
Precinct,Lesslie,939,276,18,1,0,1234,7,1241
Precinct,Manchester,509,544,11,8,1,1073,4,1077
Precinct,McConnells,856,309,6,3,1,1175,7,1182
Precinct,Mill Creek,664,262,12,1,1,940,9,949
Precinct,Mt. Gallant,925,497,15,2,0,1439,5,1444
Precinct,Mt. Holly,1140,1088,25,6,1,2260,5,2265
Precinct,Nation Ford,1237,986,38,3,1,2265,6,2271
Precinct,Neelys Creek,514,212,17,2,0,745,2,747
Precinct,New Home,1307,495,12,6,0,1820,19,1839
Precinct,Newport,954,655,24,3,1,1637,10,1647
Precinct,Northside,401,566,19,3,1,990,8,998
Precinct,Northwestern,1245,762,20,1,1,2029,15,2044
Precinct,Oakridge,1475,655,21,1,2,2154,10,2164
Precinct,Oakwood,819,614,22,6,1,1462,8,1470
Precinct,Ogden,797,855,16,6,1,1675,10,1685
Precinct,Old Pointe,641,593,24,3,1,1262,6,1268
Precinct,Orchard Park,906,701,30,4,1,1642,12,1654
Precinct,Palmetto,1488,1221,42,8,6,2765,8,2773
Precinct,Pleasant Road,1203,1045,27,7,0,2282,16,2298
Precinct,Pole Branch,1101,622,15,7,2,1747,9,1756
Precinct,Provisional,255,133,1,2,0,391,2,393
Precinct,River Hills,1114,602,22,1,0,1739,11,1750
Precinct,River's Edge,1389,695,23,9,0,2116,13,2129
Precinct,Riverview,699,433,17,4,1,1154,8,1162
Precinct,Rock Creek,895,345,13,3,0,1256,2,1258
Precinct,Rock Hill No. 02,46,1040,4,2,0,1092,13,1105
Precinct,Rock Hill No. 03,139,1361,8,5,1,1514,19,1533
Precinct,Rock Hill No. 04,614,891,13,4,3,1525,8,1533
Precinct,Rock Hill No. 05,501,625,23,4,1,1154,16,1170
Precinct,Rock Hill No. 06,196,715,16,4,1,932,11,943
Precinct,Rock Hill No. 07,794,921,23,6,3,1747,14,1761
Precinct,Rock Hill No. 08,61,650,3,3,2,719,3,722
Precinct,Roosevelt,673,468,9,1,1,1152,10,1162
Precinct,Rosewood,931,1181,55,8,1,2176,12,2188
Precinct,Sharon,836,268,9,3,0,1116,11,1127
Precinct,Shoreline,1029,775,35,4,1,1844,7,1851
Precinct,Six Mile,764,215,11,2,0,992,6,998
Precinct,Smyrna,497,62,7,1,0,567,6,573
Precinct,Springdale,348,554,12,4,0,918,6,924
Precinct,Springfield,1119,657,21,5,1,1803,11,1814
Precinct,Stateline,731,666,23,4,3,1427,6,1433
Precinct,Steele Creek,1112,896,26,3,2,2039,7,2046
Precinct,Tega Cay,591,431,15,2,3,1042,7,1049
Precinct,Tirzah,1296,406,22,6,1,1731,20,1751
Precinct,Tools Fork,925,548,10,3,1,1487,11,1498
Precinct,University,456,375,18,4,0,853,13,866
Precinct,Waterstone,757,734,19,12,1,1523,2,1525
Precinct,Windjammer,894,705,28,3,1,1631,11,1642
Precinct,Wylie,934,582,21,5,0,1542,9,1551
Precinct,York No. 01,734,914,17,5,0,1670,14,1684
Precinct,York No. 02,1096,943,33,11,0,2083,21,2104
