,,Donald J. Trump and Michael R. Pence,Hillary Rodham Clinton and Timothy Michael Kaine,Gary Johnson and Bill Weld,Evan McMullin and Nathan Johnson,Jill Stein and Ajamu Baraka,Darrell Castle and Scott Bradley,Peter Skewes and Michael Lacy,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Independence,Green,Constitution,American,,,
Precinct,Perry,337,146,10,9,2,1,2,507,6,513
Precinct,Pine Forest,759,185,20,17,1,1,3,986,5,991
Precinct,Provisional,4,2,0,0,0,0,0,6,0,6
Precinct,Redds Branch,388,176,25,6,3,2,1,601,1,602
Precinct,Salley,167,220,5,3,0,2,0,397,3,400
Precinct,Sandstone No. 70,443,213,39,15,4,6,0,720,7,727
Precinct,Sandstone No. 79,215,125,18,4,3,0,0,365,5,370
Precinct,Shaws Fork,271,88,18,1,2,3,1,384,4,388
Precinct,Shiloh,682,227,15,5,8,5,2,944,6,950
Precinct,Silver Bluff,391,474,16,3,5,1,0,890,9,899
Precinct,Six Points No. 35,365,236,22,8,7,1,1,640,5,645
Precinct,Six Points No. 46,48,490,7,1,3,1,0,550,10,560
Precinct,Sleepy Hollow No. 65,804,218,31,23,4,4,1,1085,10,1095
Precinct,South Aiken No. 75,604,262,19,18,10,5,0,918,7,925
Precinct,South Aiken No. 76,705,254,52,31,6,4,0,1052,11,1063
Precinct,Tabernacle,201,171,9,2,2,3,1,389,5,394
Precinct,Talatha,524,304,17,4,4,2,0,855,9,864
Precinct,Vaucluse,500,265,22,9,9,3,0,808,2,810
Precinct,Wagener,589,447,11,7,6,5,1,1066,12,1078
Precinct,Ward,472,298,15,10,4,0,1,800,12,812
Precinct,Warrenville,692,191,20,6,6,1,3,919,8,927
Precinct,White Pond,240,193,5,2,0,1,0,441,2,443
Precinct,Willow Springs,527,135,6,2,7,8,1,686,3,689
Precinct,Windsor No. 43,354,179,10,8,3,1,1,556,1,557
Precinct,Windsor No. 82,375,206,13,8,4,3,2,611,5,616
County,Allendale,789,2735,22,12,11,11,12,3592,35,3627
Precinct,Absentee,186,1203,7,4,3,5,2,1410,15,1425
Precinct,Allendale 01,66,255,3,2,2,3,2,333,2,335
Precinct,Allendale 02,10,302,3,0,2,0,1,318,3,321
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fairfax 01,83,144,1,4,0,0,3,235,0,235
Precinct,Fairfax 02,56,385,3,0,2,2,2,450,7,457
Precinct,Martin,33,128,0,1,0,1,2,165,1,166
Precinct,Provisional,1,13,0,0,0,0,0,14,0,14
Precinct,Sycamore,156,49,2,1,0,0,0,208,3,211
Precinct,Ulmer,71,46,2,0,0,0,0,119,2,121
Precinct,Woods,127,210,1,0,2,0,0,340,2,342
County,Anderson,56232,21097,1592,776,438,236,112,80483,729,81212
Precinct,3 And 20,1158,184,32,16,3,5,0,1398,9,1407
Precinct,5 Forks,704,228,21,8,3,1,1,966,15,981
Precinct,Absentee 1,2109,1071,49,36,19,10,6,3300,31,3331
Precinct,Absentee 2,3969,1520,67,40,24,11,8,5639,59,5698
Precinct,Absentee 3,1661,719,34,28,13,9,3,2467,28,2495
Precinct,Absentee 4,1596,1035,41,15,14,5,3,2709,30,2739
Precinct,Anderson 01/1,391,257,18,10,7,1,0,684,3,687
Precinct,Anderson 01/2,479,171,14,5,4,4,2,679,8,687
Precinct,Anderson 02/1,441,174,22,20,10,3,0,670,5,675
Precinct,Anderson 02/2,691,399,36,21,6,3,1,1157,15,1172
Precinct,Anderson 03/1,123,198,11,6,2,0,1,341,6,347
Precinct,Anderson 03/2,309,773,9,6,4,3,1,1105,7,1112
Precinct,Anderson 04/1,51,242,8,2,1,1,1,306,1,307
Precinct,Anderson 04/2,33,288,3,0,4,0,1,329,1,330
Precinct,Anderson 05/a,78,217,5,2,3,0,0,305,3,308
Precinct,Anderson 05/b,92,414,1,6,2,1,0,516,0,516
Precinct,Anderson 06/1,510,284,35,17,9,3,2,860,14,874
Precinct,Anderson 06/2,21,153,2,0,1,0,0,177,0,177
Precinct,Appleton-Equinox,161,171,9,1,4,1,1,348,1,349
Precinct,Barkers Creek-Mcadams,218,24,1,0,0,0,0,243,2,245
Precinct,Belton,653,208,17,4,3,4,1,890,7,897
Precinct,Belton Annex,719,235,25,8,6,2,1,996,8,1004
Precinct,Bishops Branch,821,254,23,9,9,7,4,1127,12,1139
Precinct,Bowling Green,294,56,7,3,0,0,1,361,2,363
Precinct,Broadview,119,217,3,1,0,1,0,341,6,347
Precinct,Broadway,412,212,10,7,4,5,0,650,5,655
Precinct,Brushy Creek,1130,215,26,9,6,5,1,1392,14,1406
Precinct,Cedar Grove,596,132,8,7,3,0,0,746,6,752
Precinct,Center Rock,990,260,17,10,2,2,3,1284,9,1293
Precinct,Centerville Station A,1034,338,22,5,12,3,1,1415,9,1424
Precinct,Centerville Station B,921,367,32,12,9,3,1,1345,13,1358
Precinct,Chiquola Mill,168,125,7,5,1,0,0,306,3,309
Precinct,Concrete,1260,332,38,19,14,6,3,1672,17,1689
Precinct,Coxs Creek,304,113,24,11,1,0,1,454,3,457
Precinct,Craytonville,536,49,11,4,2,2,0,604,4,608
Precinct,Denver-sandy Springs,573,155,21,6,7,1,1,764,10,774
Precinct,Edgewood Station A,585,337,33,15,8,1,1,980,4,984
Precinct,Edgewood Station B,747,226,27,24,4,2,1,1031,10,1041
Precinct,Emergency 1,0,0,0,0,0,0,0,0,0,0
Precinct,Emergency 2,0,0,0,0,0,0,0,0,0,0
Precinct,Emergency 3,0,0,0,0,0,0,0,0,0,0
Precinct,Emergency 4,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe 1,21,24,0,0,1,0,0,46,0,46
Precinct,Failsafe 2,46,27,1,0,1,0,0,75,1,76
Precinct,Failsafe 3,22,17,2,0,0,0,0,41,0,41
Precinct,Failsafe 4,14,34,1,1,0,0,1,51,0,51
Precinct,Failsafe Provisional 1,101,53,3,1,2,1,0,161,0,161
Precinct,Flat Rock,574,146,8,5,2,0,1,736,12,748
Precinct,Fork No. 01,561,154,11,6,2,0,1,735,7,742
Precinct,Fork No. 02,695,141,20,8,5,2,1,872,10,882
Precinct,Friendship,565,100,5,2,4,3,1,680,7,687
Precinct,Glenview,606,298,14,15,12,5,0,950,5,955
Precinct,Gluck Mill,115,92,1,3,1,0,1,213,0,213
Precinct,Green Pond Station A,1043,266,30,6,6,2,3,1356,9,1365
Precinct,Grove School,313,42,4,1,0,0,0,360,2,362
Precinct,Hall,535,158,8,5,3,2,0,711,5,716
Precinct,Hammond Annex,609,207,18,18,4,4,0,860,7,867
Precinct,Hammond School,838,266,40,19,7,5,1,1176,5,1181
Precinct,High Point,303,45,4,2,2,1,1,358,2,360
Precinct,Homeland Park,618,479,12,5,8,2,2,1126,9,1135
Precinct,Honea Path,640,149,17,3,2,2,1,814,7,821
Precinct,Hopewell,621,178,23,10,2,4,1,839,5,844
Precinct,Hunt Meadows,1834,375,62,23,14,16,4,2328,17,2345
Precinct,Iva,679,151,12,9,3,2,1,857,15,872
Precinct,Jackson Mill,345,57,14,3,1,1,3,424,9,433
Precinct,La France,376,129,9,11,6,0,0,531,6,537
Precinct,Lakeside,699,445,13,8,5,6,3,1179,9,1188
Precinct,Melton,289,100,10,5,4,4,0,412,2,414
Precinct,Mount Tabor,907,329,24,12,3,1,1,1277,13,1290
Precinct,Mountain Creek,443,144,7,4,0,2,1,601,4,605
Precinct,Mt. Airy,1162,222,30,18,2,7,0,1441,9,1450
Precinct,Neals Creek,596,297,17,11,5,2,0,928,4,932
Precinct,North Pointe,628,191,26,21,3,1,0,870,11,881
Precinct,Pelzer,371,53,10,1,2,1,0,438,6,444
Precinct,Pendleton,691,687,54,32,18,3,11,1496,15,1511
Precinct,Piedmont,378,101,8,3,7,2,0,499,3,502
Precinct,Piercetown,928,178,24,13,8,3,6,1160,3,1163
Precinct,Powdersville,1269,336,34,10,13,10,0,1672,15,1687
Precinct,Provisional 1,10,1,0,0,0,0,0,11,0,11
Precinct,Provisional 2,3,2,0,0,0,0,0,5,0,5
Precinct,Provisional 3,4,0,0,0,0,0,0,4,1,5
Precinct,Provisional 4,5,1,0,0,0,0,0,6,0,6
Precinct,Rock Mill,514,118,7,3,2,0,3,647,5,652
Precinct,Rock Springs,347,104,9,2,0,0,1,463,2,465
Precinct,Shirley's Store,375,86,8,1,0,0,1,471,6,477
Precinct,Simpsonville,1163,251,42,14,8,9,1,1488,11,1499
Precinct,Starr,445,68,8,1,0,1,0,523,3,526
Precinct,Toney Creek,255,42,8,1,3,0,1,310,2,312
Precinct,Town Creek,563,154,22,12,2,3,1,757,12,769
Precinct,Townville,345,68,8,4,3,2,1,431,6,437
Precinct,Varennes,315,211,10,6,3,2,1,548,6,554
Precinct,West Pelzer,816,145,21,3,4,3,0,992,9,1001
Precinct,West Savannah,136,52,3,0,0,1,1,193,1,194
Precinct,White Plains,1373,255,40,17,14,9,2,1710,22,1732
Precinct,Williamston,912,245,33,12,9,4,2,1217,13,1230
Precinct,Williamston Mill,1141,215,25,6,7,2,1,1397,11,1408
Precinct,Wright's School,418,55,3,2,1,1,0,480,5,485
County,Bamberg,2204,3898,51,21,17,16,7,6214,68,6282
Precinct,Absentee,428,1053,11,3,1,1,1,1498,19,1517
Precinct,Colston,81,31,0,0,0,1,1,114,2,116
Precinct,East Denmark,146,679,3,6,2,2,1,839,10,849
Precinct,Edisto,131,54,6,0,0,0,0,191,3,194
Precinct,Ehrhardt,241,176,7,1,0,0,0,425,1,426
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,11,14,0,0,0,0,0,25,5,30
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Govan,33,56,0,0,0,0,2,91,1,92
Precinct,Hightowers Mill,25,31,1,1,0,0,0,58,0,58
Precinct,Hunters Chapel,68,64,1,1,0,0,0,134,0,134
Precinct,Kearse,71,3,0,0,0,0,0,74,0,74
Precinct,Little Swamp,74,6,0,0,0,0,0,80,2,82
Precinct,North Bamberg,459,389,13,6,4,4,0,875,9,884
Precinct,Olar,121,86,0,0,0,2,0,209,3,212
Precinct,Provisional,4,10,0,0,0,0,0,14,0,14
Precinct,South Bamberg,225,695,7,1,7,6,1,942,5,947
Precinct,West Denmark,86,551,2,2,3,0,1,645,8,653
County,Barnwell,4889,4400,87,43,35,24,7,9485,83,9568
Precinct,Absentee,972,981,12,7,4,4,0,1980,11,1991
Precinct,Barnwell 01,141,153,2,0,2,0,0,298,1,299
Precinct,Barnwell 02,448,243,5,5,2,3,0,706,8,714
Precinct,Barnwell 03,462,301,20,5,8,2,2,800,8,808
Precinct,Barnwell 04,244,395,7,3,1,1,1,652,2,654
Precinct,Blackville 01,141,336,2,2,2,0,1,484,6,490
Precinct,Blackville 02,93,215,0,5,1,3,0,317,7,324
Precinct,Elko,170,155,2,2,3,1,0,333,5,338
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,39,49,1,0,0,0,0,89,0,89
Precinct,Failsafe Provisional,1,5,0,0,0,0,0,6,2,8
Precinct,Friendship,351,23,0,1,2,0,0,377,3,380
Precinct,Healing Springs,89,352,3,2,2,1,0,449,4,453
Precinct,Hilda,433,58,0,4,1,0,2,498,6,504
Precinct,Kline,192,125,8,0,2,0,1,328,2,330
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Snelling,357,296,6,1,1,0,0,661,0,661
Precinct,Williston 01,259,443,8,2,3,3,0,718,7,725
Precinct,Williston 02,212,97,5,2,0,1,0,317,4,321
Precinct,Williston 03,285,173,6,2,1,5,0,472,7,479
County,Beaufort,42922,32138,2005,743,482,142,92,78524,1069,79593
Precinct,Absentee,10499,10889,379,172,90,27,16,22072,269,22341
Precinct,Beaufort 01,127,229,8,3,7,2,1,377,2,379
Precinct,Beaufort 02,221,201,28,1,4,1,0,456,6,462
Precinct,Beaufort 03,314,188,28,11,5,0,2,548,6,554
Precinct,Belfair,745,292,28,10,8,0,3,1086,23,1109
Precinct,Bluffton 01a,355,311,28,9,11,3,2,719,3,722
Precinct,Bluffton 01b,315,156,19,6,1,1,0,498,2,500
Precinct,Bluffton 01c,472,216,24,5,8,3,1,729,2,731
Precinct,Bluffton 01d,314,284,28,6,7,1,1,641,5,646
Precinct,Bluffton 02a,261,190,13,6,2,0,0,472,4,476
Precinct,Bluffton 02b,293,211,25,5,7,0,0,541,4,545
Precinct,Bluffton 02c,756,333,44,19,7,4,0,1163,6,1169
Precinct,Bluffton 02d,766,340,33,17,13,3,1,1173,1,1174
Precinct,Bluffton 02e,251,310,21,7,6,0,3,598,4,602
Precinct,Bluffton 03,292,103,19,2,2,0,0,418,4,422
Precinct,Bluffton 04a,290,102,9,5,0,0,1,407,4,411
Precinct,Bluffton 04b,431,187,11,7,6,1,0,643,2,645
Precinct,Bluffton 04c,476,314,27,11,10,0,2,840,9,849
Precinct,Bluffton 04d,428,180,17,1,1,0,0,627,11,638
Precinct,Bluffton 05a,380,160,16,1,1,0,0,558,3,561
Precinct,Bluffton 05b,285,175,13,7,5,0,0,485,2,487
Precinct,Burton 01a,449,246,16,11,6,1,2,731,5,736
Precinct,Burton 01b,97,335,14,0,2,3,1,452,7,459
Precinct,Burton 01c,265,315,18,11,6,1,2,618,9,627
Precinct,Burton 01d,158,99,10,4,2,0,0,273,1,274
Precinct,Burton 02a,420,205,21,3,2,4,2,657,6,663
Precinct,Burton 02b,425,294,25,10,8,0,3,765,5,770
Precinct,Burton 02c,558,249,20,9,2,3,3,844,6,850
Precinct,Burton 03,85,125,4,5,9,2,0,230,3,233
Precinct,Chechessee 01,541,260,22,14,2,0,0,839,17,856
Precinct,Chechessee 02,475,217,26,9,6,1,0,734,9,743
Precinct,Dale Lobeco,177,324,11,2,4,1,1,520,4,524
Precinct,Daufuskie,139,75,9,2,0,0,0,225,4,229
Precinct,Emergency,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe,72,101,8,0,2,0,1,184,1,185
Precinct,Failsafe Provisional,27,23,4,2,0,0,0,56,2,58
Precinct,Hilton Head 01a,313,277,18,9,2,5,1,625,3,628
Precinct,Hilton Head 01b,263,271,11,2,1,0,1,549,11,560
Precinct,Hilton Head 02a,386,316,21,2,7,0,0,732,13,745
Precinct,Hilton Head 02b,205,372,14,7,10,2,0,610,4,614
Precinct,Hilton Head 02c,631,254,12,4,6,0,1,908,17,925
Precinct,Hilton Head 03,327,149,19,4,1,1,1,502,6,508
Precinct,Hilton Head 04a,269,127,17,7,1,0,0,421,16,437
Precinct,Hilton Head 04b,425,231,23,4,4,1,0,688,21,709
Precinct,Hilton Head 04c,333,225,17,3,7,1,1,587,3,590
Precinct,Hilton Head 04d,389,227,19,8,2,1,2,648,14,662
Precinct,Hilton Head 05a,382,230,10,3,4,2,0,631,6,637
Precinct,Hilton Head 05b,356,188,23,4,1,0,0,572,10,582
Precinct,Hilton Head 05c,346,179,20,6,3,1,0,555,9,564
Precinct,Hilton Head 06,485,247,30,18,1,4,1,786,20,806
Precinct,Hilton Head 07a,385,208,18,2,3,0,0,616,12,628
Precinct,Hilton Head 07b,411,225,17,7,2,0,0,662,13,675
Precinct,Hilton Head 08,261,168,16,4,6,0,1,456,6,462
Precinct,Hilton Head 09a,474,306,34,11,12,3,1,841,17,858
Precinct,Hilton Head 09b,535,142,15,8,4,0,0,704,17,721
Precinct,Hilton Head 10,464,394,25,10,6,0,0,899,14,913
Precinct,Hilton Head 11,351,216,15,7,2,2,0,593,12,605
Precinct,Hilton Head 12,240,166,9,4,2,0,1,422,11,433
Precinct,Hilton Head 13,347,227,26,6,7,1,1,615,4,619
Precinct,Hilton Head 14,340,175,12,6,4,0,0,537,15,552
Precinct,Hilton Head 15a,203,121,8,2,1,1,0,336,9,345
Precinct,Hilton Head 15b,330,163,10,3,2,0,1,509,16,525
Precinct,Ladys Island 01a,411,233,37,9,4,0,1,695,5,700
Precinct,Ladys Island 01b,404,282,23,4,1,0,0,714,12,726
Precinct,Ladys Island 02a,580,192,28,7,7,4,3,821,15,836
Precinct,Ladys Island 02b,380,178,18,9,6,0,0,591,8,599
Precinct,Ladys Island 02c,298,151,23,5,6,0,2,485,9,494
Precinct,Ladys Island 03a,290,128,9,6,4,2,0,439,6,445
Precinct,Ladys Island 03b,364,146,14,4,11,1,1,541,10,551
Precinct,Ladys Island 03c,297,128,12,14,1,2,1,455,3,458
Precinct,Moss Creek,582,345,31,11,8,0,2,979,19,998
Precinct,Mossy Oaks 01a,306,162,16,4,4,2,0,494,5,499
Precinct,Mossy Oaks 01b,383,166,21,12,3,1,0,586,8,594
Precinct,Mossy Oaks 02,314,203,28,5,7,1,1,559,10,569
Precinct,Port Royal 01,275,213,11,3,2,5,4,513,2,515
Precinct,Port Royal 02,243,236,16,4,6,5,0,510,6,516
Precinct,Provisional,106,83,7,4,1,0,1,202,0,202
Precinct,Rose Hill,691,255,32,13,5,4,2,1002,13,1015
Precinct,Saint Helena 01a,101,406,14,1,2,0,0,524,9,533
Precinct,Saint Helena 01b,137,449,12,1,2,0,0,601,3,604
Precinct,Saint Helena 01c,494,252,25,9,5,1,2,788,25,813
Precinct,Saint Helena 02a,232,340,7,6,2,1,1,589,12,601
Precinct,Saint Helena 02b,148,434,4,6,3,2,2,599,4,603
Precinct,Saint Helena 02c,406,180,12,5,2,4,0,609,11,620
Precinct,Seabrook 01,266,204,7,5,5,4,1,492,4,496
Precinct,Seabrook 02,119,282,4,3,2,0,1,411,6,417
Precinct,Seabrook 03,280,343,17,6,4,2,1,653,9,662
Precinct,Sheldon 01,228,290,8,2,3,2,0,533,14,547
Precinct,Sheldon 02,40,317,3,4,2,1,0,367,7,374
Precinct,Sun City 01,442,196,14,9,2,2,1,666,9,675
Precinct,Sun City 02,267,156,11,2,5,2,0,443,14,457
Precinct,Sun City 03,434,232,9,5,0,1,1,682,13,695
Precinct,Sun City 04,353,196,7,1,4,1,0,562,7,569
Precinct,Sun City 05,376,169,5,1,4,0,1,556,10,566
Precinct,Sun City 06,352,168,15,4,2,1,0,542,10,552
Precinct,Sun City 07,315,157,9,4,1,2,0,488,10,498
Precinct,Sun City 08,398,223,11,11,3,2,2,650,11,661
County,Berkeley,44587,30705,2470,864,543,230,118,79517,671,80188
Precinct,78,360,272,34,17,10,1,3,697,4,701
Precinct,Absentee,6723,6179,248,90,60,29,18,13347,127,13474
Precinct,Absentee 2,1221,1164,61,14,12,5,4,2481,10,2491
Precinct,Alvin,200,337,4,0,1,0,0,542,10,552
Precinct,Bethera,133,13,3,1,0,0,0,150,1,151
Precinct,Beverly Hills,305,312,23,7,13,5,2,667,4,671
Precinct,Bonneau,384,222,8,2,3,2,2,623,3,626
Precinct,Bonneau Beach,666,162,13,5,4,2,1,853,7,860
Precinct,Cainhoy,94,437,4,3,1,1,0,540,11,551
Precinct,Cane Bay,1266,603,71,28,7,9,3,1987,21,2008
Precinct,Carnes Cross Roads 01,1081,164,35,10,6,6,2,1304,10,1314
Precinct,Carnes Cross Roads 02,356,208,23,9,7,3,1,607,5,612
Precinct,Central,675,471,51,13,8,1,4,1223,5,1228
Precinct,Cordesville,382,197,6,3,10,3,1,602,8,610
Precinct,Cross,293,215,8,2,3,1,1,523,7,530
Precinct,Daniel Island 01,568,229,29,8,0,0,0,834,16,850
Precinct,Daniel Island 02,454,346,45,17,4,5,0,871,9,880
Precinct,Daniel Island 03,491,354,42,19,4,1,0,911,11,922
Precinct,Daniel Island 04,703,433,62,32,4,0,1,1235,17,1252
Precinct,Devon Forest 01,602,384,49,10,14,5,3,1067,5,1072
Precinct,Devon Forest 02,510,279,33,9,11,1,1,844,3,847
Precinct,Discovery,440,362,37,16,8,2,1,866,3,869
Precinct,Eadytown,102,267,2,0,1,0,0,372,3,375
Precinct,Emergency,160,87,4,4,0,0,1,256,3,259
Precinct,Emergency 2,87,42,0,2,1,0,0,132,2,134
Precinct,Failsafe,26,24,1,0,2,0,0,53,0,53
Precinct,Failsafe 2,2,3,2,0,0,0,0,7,0,7
Precinct,Failsafe Provisional,44,25,3,0,1,0,0,73,0,73
Precinct,Foster Creek 01,115,73,12,3,2,0,0,205,2,207
Precinct,Foster Creek 02,766,420,68,22,8,4,0,1288,13,1301
Precinct,Foster Creek 03,486,336,44,12,5,6,0,889,8,897
Precinct,Fox Bank,585,336,43,21,9,3,2,999,2,1001
Precinct,Hanahan 01,884,274,58,11,7,5,2,1241,11,1252
Precinct,Hanahan 02,391,260,29,11,15,3,0,709,7,716
Precinct,Hanahan 03,440,181,31,11,12,3,2,680,7,687
Precinct,Hanahan 04,356,304,40,11,9,5,0,725,3,728
Precinct,Hanahan 05,529,146,25,9,5,1,0,715,7,722
Precinct,Harbour Lake,273,530,23,8,12,1,3,850,7,857
Precinct,Hilton Cross Road,346,376,10,5,5,1,1,744,16,760
Precinct,Howe Hall 01,425,493,36,8,12,4,2,980,5,985
Precinct,Howe Hall 02,272,228,29,10,8,5,2,554,6,560
Precinct,Huger,220,396,10,5,5,2,1,639,7,646
Precinct,Jamestown,127,186,7,0,4,0,1,325,6,331
Precinct,Lebanon,358,69,8,3,0,0,0,438,8,446
Precinct,Liberty Hall,576,529,57,27,15,9,1,1214,8,1222
Precinct,Macedonia,896,86,18,5,2,0,4,1011,10,1021
Precinct,Mcbeth,316,158,7,3,2,1,0,487,5,492
Precinct,Medway,791,783,70,24,23,5,4,1700,15,1715
Precinct,Moncks Corner 01,453,273,20,5,2,0,0,753,5,758
